Referência;Produto;Atributos;Categorias;Qtde Vendida;Custo do Produto;;;;;;;;;;;;;;;;;;;;
10500;Camiseta Tambaqui Aquarela - Branca;Único/XGG;Lançamentos, Camisetas;1;26.02;;;;;;;;;;;;;;;;;;;;
10539;Boné Escama Dourado;Único/Único;Lançamentos, Bonés;11;27.53;;;;;;;;;;;;;;;;;;;;
10578;Caneca Tucunaré Aquarela;Único/Único;Lançamentos, Utilitários > Canecas;10;13.90;;;;;;;;;;;;;;;;;;;;
10542;Boné Escama Tambaqui;Único/Único;Lançamentos, Bonés;10;27.53;;;;;;;;;;;;;;;;;;;;
10482;Camiseta Boia Cevadeira;Único/G;Lançamentos, Camisetas;3;23.11;;;;;;;;;;;;;;;;;;;;
10482;Camiseta Boia Cevadeira;Único/XG;Lançamentos, Camisetas;3;23.11;;;;;;;;;;;;;;;;;;;;
10482;Camiseta Boia Cevadeira;Único/GG;Lançamentos, Camisetas;2;23.11;;;;;;;;;;;;;;;;;;;;
10482;Camiseta Boia Cevadeira;Único/P;Lançamentos, Camisetas;1;23.11;;;;;;;;;;;;;;;;;;;;
10482;Camiseta Boia Cevadeira;Único/XGG;Lançamentos, Camisetas;1;23.11;;;;;;;;;;;;;;;;;;;;
10572;Abridor Pesque e Solte;Único/Único;Lançamentos, Utilitários > Abridores;8;5.63;;;;;;;;;;;;;;;;;;;;
10588;Colar Isca Stick;Único/Único;Lançamentos, Acessórios > Colares;8;4.91;;;;;;;;;;;;;;;;;;;;
10574;Chaveiro Tucunaré;Único/Único;Lançamentos, Utilitários > Chaveiros;7;4.52;;;;;;;;;;;;;;;;;;;;
10497;Camiseta Robalo Maori;Único/G;Lançamentos, Camisetas;3;23.11;;;;;;;;;;;;;;;;;;;;
10497;Camiseta Robalo Maori;Único/M;Lançamentos, Camisetas;2;23.11;;;;;;;;;;;;;;;;;;;;
10497;Camiseta Robalo Maori;Único/GG;Lançamentos, Camisetas;2;23.11;;;;;;;;;;;;;;;;;;;;
10483;Camiseta Cardume Fish TV;Único/G;Lançamentos, Camisetas, Fish TV;3;23.11;;;;;;;;;;;;;;;;;;;;
10483;Camiseta Cardume Fish TV;Único/P;Lançamentos, Camisetas, Fish TV;1;23.11;;;;;;;;;;;;;;;;;;;;
10483;Camiseta Cardume Fish TV;Único/GG;Lançamentos, Camisetas, Fish TV;1;23.11;;;;;;;;;;;;;;;;;;;;
10483;Camiseta Cardume Fish TV;Único/XG;Lançamentos, Camisetas, Fish TV;1;23.11;;;;;;;;;;;;;;;;;;;;
10483;Camiseta Cardume Fish TV;Único/XGG;Lançamentos, Camisetas, Fish TV;1;23.11;;;;;;;;;;;;;;;;;;;;
10232;Camiseta Dourado Tribal;M/Único;Camisetas;5;21.97;;;;;;;;;;;;;;;;;;;;
10232;Camiseta Dourado Tribal;GG/Único;Camisetas;2;21.97;;;;;;;;;;;;;;;;;;;;
10581;Caneca Pescar... Começar;Único/Único;Lançamentos, Utilitários > Canecas;6;10.87;;;;;;;;;;;;;;;;;;;;
10275;Squeeze For Fisher;Único/Único;Utilitários > Squeeze;6;12.82;;;;;;;;;;;;;;;;;;;;
10341;Boné Dourado Tribal;Único/Único;Bonés;6;21.97;;;;;;;;;;;;;;;;;;;;
10224;Sandália For Fisher;43/44/Único;Sandálias;3;14.39;;;;;;;;;;;;;;;;;;;;
10224;Sandália For Fisher;39/40/Único;Sandálias;1;14.39;;;;;;;;;;;;;;;;;;;;
10224;Sandália For Fisher;37/38/Único;Sandálias;1;14.39;;;;;;;;;;;;;;;;;;;;
10489;Camiseta Pampo Maori - Azul;Único/GG;Lançamentos, Camisetas;3;23.11;;;;;;;;;;;;;;;;;;;;
10489;Camiseta Pampo Maori - Azul;Único/G;Lançamentos, Camisetas;1;23.11;;;;;;;;;;;;;;;;;;;;
10489;Camiseta Pampo Maori - Azul;Único/XG;Lançamentos, Camisetas;1;23.11;;;;;;;;;;;;;;;;;;;;
10541;Boné Clássico Tucunaré;Único/Único;Lançamentos, Bonés;5;22.68;;;;;;;;;;;;;;;;;;;;
10494;Camiseta Baby Look Tucunaré Aquarela - Branca;Único/P;Lançamentos, Camisetas;2;26.02;;;;;;;;;;;;;;;;;;;;
10494;Camiseta Baby Look Tucunaré Aquarela - Branca;Único/G;Lançamentos, Camisetas;2;26.02;;;;;;;;;;;;;;;;;;;;
10494;Camiseta Baby Look Tucunaré Aquarela - Branca;Único/M;Lançamentos, Camisetas;1;26.02;;;;;;;;;;;;;;;;;;;;
10018;Colar Hei Matau;Único/Único;Acessórios > Colares;5;06.01;;;;;;;;;;;;;;;;;;;;
10129;Camiseta Tribalnaré For Fisher;GG/Único;Camisetas;3;21.97;;;;;;;;;;;;;;;;;;;;
10129;Camiseta Tribalnaré For Fisher;XG/Único;Camisetas;1;21.97;;;;;;;;;;;;;;;;;;;;
10540;Boné Escama Tucunaré;Único/Único;Lançamentos, Bonés;4;26.01;;;;;;;;;;;;;;;;;;;;
10033;Pulseira Tambaqui Pingente;Único/Único;Acessórios > Pulseiras;4;7.69;;;;;;;;;;;;;;;;;;;;
10060;Pulseira Traíra Emborrachada;Único/Único;Acessórios > Pulseiras;4;6.11;;;;;;;;;;;;;;;;;;;;
10422;Camiseta Embaixador da Pesca;Único/M;Camisetas;2;25.00;;;;;;;;;;;;;;;;;;;;
10422;Camiseta Embaixador da Pesca;Único/P;Camisetas;1;25.00;;;;;;;;;;;;;;;;;;;;
10422;Camiseta Embaixador da Pesca;Único/GG;Camisetas;1;25.00;;;;;;;;;;;;;;;;;;;;
10221;Sandália Dourado Tribal;39/40/Único;Sandálias;1;14.39;;;;;;;;;;;;;;;;;;;;
10221;Sandália Dourado Tribal;41/42/Único;Sandálias;1;14.39;;;;;;;;;;;;;;;;;;;;
