ID;Custo do Produto
10432;21,972922
10431;21,972922
10430;21,972922
10429;21,972922
10424;25,002922
10423;25,002922
10422;25,002922
10421;25,002922
10251;20,962922
10245;20,962922
10243;20,962922
10244;20,962922
10232;21,972922
10231;21,972922
10230;21,972922
10229;21,972922
10129;21,972922
10128;21,669922
10130;21,669922
10132;21,972922
10131;19,952922
10343;21,972922
10341;21,972922
10338;10,466598
10337;10,338833
10161;13,194507
10054;14,388933
10053;14,388933
10052;14,388933
10050;14,388933
10224;14,388933
10223;14,388933
10222;14,388933
10221;14,388933
10220;14,388933
10055;14,388933
10148;25,79027138
10151;25,79027138
10022;6,4283352
10021;6,4283352
10020;6,4283352
10019;6,4283352
10018;6,0084176
10017;6,4283352
10023;6,4283352
10196;11,40913
10195;11,40913
10194;11,40913
10191;11,40913
10190;11,40913
10189;11,40913
10187;11,40913
10186;11,40913
10185;11,40913
10041;6,170047496
10040;6,170047496
10039;6,170047496
10038;6,170047496
10037;6,170047496
10036;6,170047496
10061;6,108145
10060;6,108145
10059;6,108145
10058;6,108145
10057;6,108145
10056;6,108145
10035;7,692016496
10034;7,692016496
10033;7,692016496
10032;7,692016496
10031;7,692016496
10030;7,692016496
10192;11,40913
10188;11,40913
10236;11,429128
10029;15,309144
10028;15,309144
10027;15,309144
10026;15,309144
10025;15,309144
10024;15,309144
10275;12,821918
13001;5,246817
10438;63,405041
10444;110,6588
10441;110,6588
