Faixas de 15min;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
18:30:00 - 18:45:00;0,02;0,01;0,01;0,02;0,01;0,02;0,01;0,01;0,01;0,02;0,01;0,01;0,00;0,01;0,01
18:45:00 - 19:00:00;0,03;0,01;0,01;0,02;0,02;0,03;0,02;0,01;0,01;0,02;0,01;0,01;0,00;0,01;0,02
19:00:00 - 19:15:00;0,03;0,01;0,01;0,02;0,02;0,03;0,02;0,01;0,01;0,02;0,01;0,01;0,00;0,02;0,02
19:15:00 - 19:30:00;0,02;0,01;0,02;0,02;0,02;0,03;0,01;0,01;0,01;0,01;0,01;0,01;0,00;0,02;0,01
19:30:00 - 19:45:00;0,03;0,01;0,02;0,02;0,03;0,03;0,02;0,01;0,01;0,01;0,01;0,01;0,00;0,02;0,02
19:45:00 - 20:00:00;0,03;0,01;0,03;0,03;0,03;0,03;0,02;0,01;0,02;0,01;0,00;0,01;0,00;0,02;0,02
20:00:00 - 20:15:00;0,04;0,02;0,03;0,03;0,03;0,03;0,02;0,01;0,02;0,01;0,00;0,01;0,00;0,02;0,03
20:15:00 - 20:30:00;0,04;0,02;0,02;0,03;0,02;0,03;0,02;0,02;0,02;0,02;0,00;0,01;0,01;0,02;0,03
20:30:00 - 20:45:00;0,03;0,01;0,02;0,02;0,02;0,03;0,02;0,01;0,01;0,02;0,01;0,01;0,00;0,02;0,03
20:45:00 - 21:00:00;0,04;0,02;0,02;0,03;0,02;0,03;0,02;0,01;0,01;0,02;0,01;0,01;0,00;0,02;0,03
21:00:00 - 21:15:00;0,04;0,01;0,02;0,02;0,03;0,03;0,02;0,01;0,01;0,02;0,00;0,01;0,00;0,03;0,02
21:15:00 - 21:30:00;0,03;0,01;0,02;0,03;0,03;0,04;0,02;0,01;0,01;0,02;0,01;0,01;0,00;0,03;0,01
21:30:00 - 21:45:00;0,04;0,02;0,03;0,04;0,03;0,05;0,02;0,02;0,02;0,03;0,01;0,01;0,00;0,04;0,03
21:45:00 - 22:00:00;0,05;0,02;0,03;0,04;0,03;0,05;0,02;0,02;0,02;0,03;0,00;0,00;0,00;0,04;0,03
