Faixas de 15min;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
24:45:00 - 25:00:00;0,648;0,8858;0,4586;0,5628;0,4459;0,5501;0,7409;0,1448;0,7364;0,1493;0,0227;0,0609;0,2068;0,2641;0,3313
25:00:00 - 25:15:00;0,3288;0,3727;0,0777;0,1688;0,0777;0,1688;0,1893;0,1834;0,242;0,1307;0;0,0203;0,1074;0,1307;0,1143
25:15:00 - 25:30:00;0,6067;0,6302;0,0981;0,4903;0,0877;0,4716;0,5412;0,089;0,1441;0,4353;0;0;0,0518;0,3098;0,2687
25:30:00 - 25:45:00;1,0282;1,2276;0,436;0,6949;0,436;0,6783;0,9353;0,2923;0,8497;0,2588;0;0,1467;0,1834;0,5416;0,3559
25:45:00 - 26:00:00;1,2123;1,1669;0,368;0,5527;0,368;0,5527;0,7323;0,4346;0,9548;0,2121;0;0,1572;0,2071;0,5008;0,3018
26:00:00 - 26:15:00;0,9528;0,8384;0,1798;0,2659;0,1761;0,2622;0,3366;0,5018;0,6145;0,2239;0;0,1473;0,0473;0,382;0,2618
26:15:00 - 26:30:00;0,1644;0,1255;0,0603;0,0603;0,0603;0,0603;0,1093;0,0162;0,1255;0;0;0,0491;0;0,0764;0
26:30:00 - 26:45:00;0,3334;0,3407;0,0639;0,2169;0,0639;0,1096;0,266;0,0748;0,1612;0,1796;0;0,0491;0,1555;0,0722;0,064
26:45:00 - 27:00:00;0,5228;0,5346;0,2132;0,4059;0,2132;0,3701;0,4851;0,0496;0,2924;0,2422;0;0,0792;0,0358;0,4197;0
27:00:00 - 27:15:00;0,6027;0,6277;0,2274;0,4148;0,2274;0,4148;0,4508;0,1769;0,2634;0,3643;0;0,036;0;0,5323;0,0594
27:15:00 - 27:30:00;0,5005;0,6194;0,2012;0,3458;0,2012;0,3458;0,3458;0,2735;0,2012;0,4181;0,0407;0;0,0382;0,5237;0,0168
27:30:00 - 27:45:00;0,5412;0,5711;0,1878;0,4224;0,1878;0,4224;0,4224;0,1487;0,1878;0,3833;0;0;0;0,5455;0,0257
27:45:00 - 28:00:00;0,2316;0,2043;0;0,2043;0;0,2043;0,2043;0;0;0,2043;0;0;0;0,1653;0,0389
28:00:00 - 28:15:00;0,3428;0,3648;0,2352;0,352;0,1525;0,2692;0,352;0,0128;0,2352;0,1295;0;0;0,0828;0,1525;0,1295
28:15:00 - 28:30:00;0,4182;0,4541;0,3467;0,4024;0,1398;0,1955;0,4541;0;0,3467;0,1075;0;0,0168;0,2418;0,1488;0,0467
28:30:00 - 28:45:00;0,392;0,4597;0,3924;0,3924;0,1271;0,1271;0,3924;0,0673;0,4597;0;0;0;0,2799;0,1798;0
28:45:00 - 29:00:00;0,27;0,3242;0,2825;0,2891;0,186;0,1926;0,2891;0,035;0,3107;0,0135;0;0;0,0965;0,1901;0,0375
29:00:00 - 29:15:00;0,1057;0,1354;0,0635;0,0719;0,0635;0,0719;0,0789;0,0565;0,0635;0,0153;0,007;0;0,0565;0,0635;0,0083
29:15:00 - 29:30:00;0,2693;0,3231;0,1779;0,2097;0,1779;0,2097;0,2097;0,1134;0,1971;0,0318;0;0;0,0942;0,1779;0,051
29:30:00 - 29:45:00;0,2696;0,2934;0,1565;0,1868;0,1565;0,1868;0,2637;0,0297;0,1863;0,0303;0;0;0;0,2166;0,0768
29:45:00 - 30:00:00;0,1246;0,1447;0,1017;0,1205;0,1017;0,1205;0,1205;0,0242;0,1017;0,0431;0;0;0;0,1017;0,0431
06:00:00 - 30:00:00;1,7849;2,1123;0,5491;1,1907;0,4787;1,0981;1,3865;0,7258;0,9729;1,0183;0,0832;0,0866;0,234;0,7682;0,9403
;;;;;;;;;;;;;;;
