Faixas de 15min;TOTAL Domicílios c/pay tv;TOTAL Indivíduos c/pay tv;TOTAL HH AB 25+ c/pay tv;TOTAL HH ABC 25+ c/pay tv;TOTAL HH AB 35+ c/pay tv;TOTAL HH ABC 35+ c/pay tv;TOTAL HH ABCDE 04+ c/pay tv;TOTAL MM ABCDE 04+ c/pay tv;TOTAL AS AB 04+ c/pay tv;TOTAL AS C 04+ c/pay tv;TOTAL AS ABCDE 04-11 c/pay tv;TOTAL AS ABCDE 12-17 c/pay tv;TOTAL AS ABCDE 18-34 c/pay tv;TOTAL AS ABCDE 35-49 c/pay tv;TOTAL AS ABCDE 50+ c/pay tv
15:30:00 - 15:45:00;1,86;0,78;1,50;1,41;1,75;1,75;1,00;0,57;0,76;0,67;0,39;0,31;0,28;0,62;1,59
15:45:00 - 16:00:00;1,78;0,64;0,89;0,90;1,06;1,13;0,77;0,53;0,60;0,52;0,41;0,20;0,19;0,29;1,51
16:00:00 - 16:15:00;1,53;0,61;0,97;0,90;1,08;1,08;0,71;0,53;0,67;0,44;0,25;0,63;0,12;0,39;1,33
16:15:00 - 16:30:00;1,85;0,75;1,14;1,12;1,39;1,42;0,88;0,63;0,82;0,61;0,35;0,45;0,25;0,60;1,51
16:30:00 - 16:45:00;1,46;0,57;1,10;1,19;1,30;1,37;0,83;0,33;0,52;0,60;0,13;0,09;0,31;0,46;1,16
16:45:00 - 17:00:00;1,60;0,61;1,49;1,16;1,81;1,46;0,84;0,40;0,64;0,58;0,38;0,04;0,09;0,58;1,33
17:00:00 - 17:15:00;1,56;0,61;1,01;1,01;1,32;1,29;0,78;0,45;0,58;0,67;0,26;0,14;0,22;0,51;1,27
17:15:00 - 17:30:00;1,31;0,56;0,85;0,95;1,10;1,17;0,80;0,34;0,44;0,69;0,21;0,17;0,26;0,71;0,92
17:30:00 - 17:45:00;1,44;0,59;1,07;0,98;1,27;1,13;0,72;0,48;0,60;0,54;0,18;0,26;0,21;0,70;1,06
17:45:00 - 18:00:00;1,11;0,49;0,37;0,74;0,48;0,93;0,63;0,35;0,24;0,76;0,31;0,25;0,24;0,60;0,73
18:00:00 - 18:15:00;1,44;0,64;1,09;1,13;1,21;1,18;0,78;0,51;0,69;0,58;0,54;0,14;0,41;0,88;0,82
18:15:00 - 18:30:00;1,51;0,62;1,11;1,00;1,03;1,09;0,74;0,51;0,68;0,48;0,54;0,07;0,40;0,64;0,98
18:30:00 - 18:45:00;1,55;0,63;0,63;0,78;0,57;0,82;0,61;0,64;0,43;0,83;0,29;0,52;0,26;0,64;1,06
18:45:00 - 19:00:00;1,59;0,68;0,85;1,13;0,99;1,36;0,78;0,59;0,54;0,79;0,40;0,14;0,48;0,84;0,97
19:00:00 - 19:15:00;1,64;0,78;1,14;1,20;1,49;1,57;0,82;0,73;0,84;0,70;0,42;0,14;0,19;0,97;1,43
19:15:00 - 19:30:00;1,48;0,61;1,03;1,11;1,34;1,43;0,80;0,43;0,63;0,59;0,17;0,25;0,23;0,84;1,00
19:30:00 - 19:45:00;1,67;0,74;1,73;1,47;2,16;1,89;0,96;0,54;0,90;0,61;0,17;0,14;0,21;0,96;1,39
19:45:00 - 20:00:00;1,29;0,63;1,37;1,18;1,56;1,43;0,86;0,42;0,73;0,51;0,37;0,14;0,18;0,64;1,24
20:00:00 - 20:15:00;1,94;0,87;1,51;1,54;1,82;1,95;1,16;0,59;0,82;0,88;0,22;0,45;0,30;1,20;1,46
20:15:00 - 20:30:00;1,58;0,70;1,29;1,31;1,26;1,47;0,98;0,45;0,70;0,68;0,39;0,34;0,40;0,62;1,24
