Início dos relatórios;Término dos relatórios;Nome da campanha;Veiculação;Pessoas executando uma ação;Reações à publicação;Comentários na publicação;Compartilhamentos da publicação;Cliques no link;Curtidas na Página;CPC (custo por clique no link) (BRL)
2018-05-04;2018-06-04;Camp_Mensagens;not_delivering;2;;;;;;
2018-05-04;2018-06-04;Camp_Alcance;not_delivering;18352;20;;;30;;3,498333
2018-05-04;2018-06-04;Camp_Ads;not_delivering;3096;676;11;14;2732;74;0,231827
