UF;Pedidos;Produtos Vendidos;Ticket Médio;Valor Total;Valor de Frete
BA;1;3;R$ 167,70;R$ 167,70;R$ 29,22
DF;2;6;R$ 177,20;R$ 354,40;R$ 48,94
GO;4;20;R$ 375,50;R$ 1.502,00;R$ 150,67
MG;6;15;R$ 171,42;R$ 1.028,50;R$ 195,02
MS;6;14;R$ 161,43;R$ 968,60;R$ 209,50
MT;1;3;R$ 229,70;R$ 229,70;R$ 64,75
PR;16;41;R$ 182,49;R$ 2.919,90;R$ 407,28
RJ;3;6;R$ 156,47;R$ 469,40;R$ 72,26
RS;11;16;R$ 91,22;R$ 1.003,40;R$ 93,61
SC;6;10;R$ 121,50;R$ 729,00;R$ 131,99
SP;44;105;R$ 164,90;R$ 7.255,50;R$ 1.181,47
