ID;Data;Status;Pagamento;Dispositivo;Produtos;SubTotal;Descontos;Frete;Valor
5631;17/04/2018 11:32;ENTREGUE;MOIP Boleto;Desktop;1;R$ 34,90;R$ 0,00;R$ 64,75;R$ 99,65
5630;17/04/2018 11:08;ENTREGUE;MOIP CC 6x;Desktop;4;R$ 339,60;R$ 0,00;R$ 0,00;R$ 339,60
5629;17/04/2018 09:33;APROVADO CRÉDITO;MOIP CC 6x;Desktop;4;R$ 299,60;R$ 0,00;R$ 35,93;R$ 335,53
5627;16/04/2018 20:17;ENTREGUE;MOIP Boleto;Mobile;3;R$ 247,70;R$ 0,00;R$ 30,08;R$ 277,78
5626;16/04/2018 19:49;DESPACHADO;MOIP CC 6x;Mobile;2;R$ 149,80;R$ 0,00;R$ 18,79;R$ 168,59
5625;16/04/2018 18:55;ENTREGUE;MOIP Boleto;Desktop;1;R$ 79,90;R$ 0,00;R$ 24,47;R$ 104,37
5623;16/04/2018 18:29;ENTREGUE;MOIP Boleto;Mobile;1;R$ 79,90;R$ 0,00;R$ 30,08;R$ 109,98
5622;16/04/2018 18:01;ENTREGUE;MOIP CC 1x;Mobile;1;R$ 79,90;R$ 0,00;R$ 38,23;R$ 118,13
5621;16/04/2018 15:46;APROVADO CRÉDITO;MOIP Boleto;Desktop;1;R$ 79,90;R$ 79,90;R$ 0,00;R$ 0,00
5620;16/04/2018 12:34;ENTREGUE;MOIP Boleto;Desktop;1;R$ 79,90;R$ 0,00;R$ 18,79;R$ 98,69
5619;16/04/2018 09:08;ENTREGUE;MOIP Boleto;Desktop;3;R$ 209,70;R$ 0,00;R$ 30,08;R$ 239,78
5618;15/04/2018 21:11;ENTREGUE;MOIP Boleto;Desktop;6;R$ 299,40;R$ 0,00;R$ 0,00;R$ 299,40
5616;15/04/2018 17:34;ENTREGUE;MOIP CC 6x;Mobile;4;R$ 307,60;R$ 0,00;R$ 26,37;R$ 333,97
5615;15/04/2018 14:00;ENTREGUE;MOIP CC 1x;Desktop;2;R$ 159,80;R$ 0,00;R$ 18,79;R$ 178,59
5613;15/04/2018 13:34;ENTREGUE;MOIP Boleto;Mobile;1;R$ 39,90;R$ 0,00;R$ 10,46;R$ 50,36
5612;15/04/2018 12:43;ENTREGUE;MOIP CC 2x;Desktop;3;R$ 237,70;R$ 0,00;R$ 23,21;R$ 260,91
5610;15/04/2018 11:56;ENTREGUE;MOIP Boleto;Desktop;1;R$ 87,90;R$ 0,00;R$ 30,08;R$ 117,98
5609;15/04/2018 10:33;ENTREGUE;MOIP CC 1x;Desktop;2;R$ 114,80;R$ 0,00;R$ 47,38;R$ 162,18
5608;15/04/2018 10:09;ENTREGUE;MOIP CC 6x;Mobile;4;R$ 319,60;R$ 0,00;R$ 0,00;R$ 319,60
5607;15/04/2018 10:08;ENTREGUE;MOIP CC 6x;Desktop;3;R$ 229,70;R$ 0,00;R$ 21,00;R$ 250,70
5606;15/04/2018 09:49;ENTREGUE;MOIP CC 3x;Mobile;2;R$ 159,80;R$ 0,00;R$ 21,00;R$ 180,80
5605;15/04/2018 09:36;ENTREGUE;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 21,00;R$ 90,90
5604;14/04/2018 18:30;ENTREGUE;MOIP Boleto;Mobile;12;R$ 998,80;R$ 998,80;R$ 0,00;R$ 0,00
