Categoria;Total de Pedidos;Total de Produtos;Total em Produtos
Camisetas;60;115;R$ 9.290,50
Pulseiras;13;19;R$ 768,10
Sandálias;3;3;R$ 239,70
Colares;3;4;R$ 159,60
Cintos;1;1;R$ 109,90
Quadros;1;1;R$ 69,90
Bonés;47;55;R$ 3.844,50
Utilitários;12;17;R$ 428,30
Acessórios;9;9;R$ 359,10
Fish TV;8;10;R$ 959,00
Lançamentos;2;5;R$ 399,50
