UF;Qtde;Total
SP;354;R$ 23.548,60
PR;163;R$ 11.034,70
RS;90;R$ 5.681,00
Não informado;70;R$ 4.606,00
MG;54;R$ 3.927,60
MT;34;R$ 2.111,60
RJ;32;R$ 2.186,80
GO;28;R$ 1.387,20
BA;26;R$ 1.422,40
SC;24;R$ 1.607,60
PA;15;R$ 1.076,50
DF;12;R$ 787,80
MS;12;R$ 898,80
