Página;Visualizações de página;Visualizações de páginas únicas;Tempo médio na página;Entradas;Taxa de rejeição;Porcentagem de saída;Valor da página
/;13368;8940;52,88;8663;33,71%;34,50%;2,47
/camisetas-000001.html;8190;4038;33,31;538;43,28%;12,15%;5,78
/bones-000007.html;5407;2674;42,11;469;36,97%;12,85%;6,32
/camisetas-000001.html?page=2;3337;1778;32,26;77;68,83%;11,18%;8,60
/lancamentos-000014.html;3123;2139;38,86;188;50,54%;15,66%;5,06
/sandalias-000003.html;2084;1416;28,53;56;57,14%;11,76%;3,94
/fish-tv-000013.html;1911;1264;42,72;612;29,41%;26,90%;2,94
/carrinho.html;1563;837;52,05;72;5,71%;14,59%;43,31
/lancamentos-000014.html?page=2;1284;772;31,60;26;76,92%;7,94%;7,73
/produtos.html;1226;834;41,55;187;24,73%;19,74%;5,79
;78024;52293;39,40;13811;39,15%;17,70%;9,15
