UF;Pedidos;Produtos Vendidos;Ticket Médio;Valor Total;Valor de Frete
AP;1;2;R$ 159,80;R$ 159,80;R$ 34,77
BA;4;9;R$ 172,28;R$ 689,10;R$ 130,30
CE;1;2;R$ 159,80;R$ 159,80;R$ 34,77
DF;4;7;R$ 132,33;R$ 529,30;R$ 160,62
ES;6;13;R$ 156,45;R$ 938,70;R$ 209,54
GO;5;12;R$ 167,76;R$ 838,80;R$ 179,46
MA;1;2;R$ 109,80;R$ 109,80;R$ 34,77
MG;14;23;R$ 115,05;R$ 1.610,70;R$ 542,97
MS;3;4;R$ 96,53;R$ 289,60;R$ 93,92
MT;6;8;R$ 93,20;R$ 559,20;R$ 169,26
PA;3;8;R$ 181,40;R$ 544,20;R$ 120,27
PE;1;1;R$ 79,90;R$ 79,90;R$ 34,77
PR;20;30;R$ 109,35;R$ 2.187,00;R$ 548,25
RJ;10;37;R$ 222,53;R$ 2.225,30;R$ 265,17
RO;1;1;R$ 79,90;R$ 79,90;R$ 35,93
RS;32;58;R$ 116,01;R$ 3.712,20;R$ 334,18
SC;18;43;R$ 181,98;R$ 3.275,70;R$ 414,03
SE;1;2;R$ 159,80;R$ 159,80;R$ 29,22
SP;106;187;R$ 127,44;R$ 13.508,30;R$ 1.942,89
