UF;Qtde;Total
SP;129;9128,1
RJ;51;2952,9
RS;47;3128,3
PR;31;2096,9
Não informado;17;1178,3
PA;17;1186,3
SC;12;918,8
ES;12;838,8
MG;11;806,9
MT;8;709,2
BA;7;469,3
DF;4;309,6
AM;4;134,6
GO;4;269,6
MS;3;209,7
MA;2;109,8
