Categoria;Total de Pedidos;Total de Produtos;Total em Produtos
Camisetas;143;213;R$ 17.046,70
Pulseiras;13;19;R$ 698,10
Sandálias;8;9;R$ 719,10
Colares;6;8;R$ 349,20
Cintos;1;1;R$ 83,90
Quadros;4;4;R$ 279,60
Bonés;106;128;R$ 8.947,20
Utilitários;28;36;R$ 1.096,40
Acessórios;6;6;R$ 239,40
Fish TV;19;20;R$ 1.798,00
Lançamentos;5;5;R$ 399,50
