Referência;Produto;Atributos;Categorias;Qtde Vendida;Cor;Tamanho;Tipo de Produto;Espécies;Modalidade
10431;Camiseta Salto do Robalo;Único/G;Camisetas;1;Cinza Escuro;G;Camiseta;Robalo;Oceânica
10431;Camiseta Salto do Robalo;Único/XG;Camisetas;1;Cinza Escuro;XG;Camiseta;Robalo;Oceânica
10491;Camiseta Baby Look Peixe Grande Toma Linha;Único/P;Lançamentos, Camisetas;1;Preta;P;Camiseta;Peixe Grande toma Linha;Todos 
10491;Camiseta Baby Look Peixe Grande Toma Linha;Único/M;Lançamentos, Camisetas;1;Preta;P;Camiseta;Peixe Grande toma Linha;Todos 
10491;Camiseta Baby Look Peixe Grande Toma Linha;Único/G;Lançamentos, Camisetas;1;Preta;G;Camiseta;Peixe Grande toma Linha;Todos 
10129;Camiseta Tribalnaré For Fisher;P/Único;Camisetas;2;Preta;P;Camiseta;Tribainaré;Bait 
10129;Camiseta Tribalnaré For Fisher;GG/Único;Camisetas;1;Preta;Único;Camiseta;Tribainaré;Bait 
10040;Pulseira Traíra em Recorte;Único/Único;Acessórios > Pulseiras;2;Verde Menta;Único;Colar;Traira;Bait 
10586;Colar Anzol For Fisher;Único/Único;Lançamentos, Acessórios > Colares;2;Grafite;Único;Colar;Anzol;Todos 
10023;Colar Tucunaré;Único/Único;Acessórios > Colares;2;Grafite;Único;Colar;Tucunaré;Bait 
10195;Pulseira Macramê Traíra Preta e Marrom;Único/Único;Acessórios > Pulseiras;2;Preta/Marrom;Único;Pulseira;Traia;Bait 
10573;Chaveiro Pesque e Solte;Único/Único;Lançamentos, Utilitários > Chaveiros;2;Grafite;Único;Chaveiro;Pesque e Solte;Todos 
10021;Colar Tambaqui;Único/Único;Acessórios > Colares;2;Grafite;Único;Colar;Tambaqui;Pesqueiro
10061;Pulseira Tucunaré Emborrachada;Único/Único;Acessórios > Pulseiras;2;Verde Menta;Único;Pulseira;Tucunaré;Bait 
10275;Squeeze For Fisher;Único/Único;Utilitários > Squeeze;2;Preta;Único;Squeeze;For Fisher;Todos 
10545;Boné Pampo Maori;Único/Único;Lançamentos, Bonés;2;Branco/Azul Marinho;Único;Boné;Pampo;Oceânica
10231;Camiseta Traíra Tribal;G/Único;Camisetas;1;Marrom Nude;G;Camiseta;Traira;Bait 
10231;Camiseta Traíra Tribal;GG/Único;Camisetas;1;Marrom Nude;GG;Camiseta;Traira;Bait 
10222;Sandália Tucunaré Tribal;41/42/Único;Sandálias;2;Verde Pinheiro;Único;Sandália;Tucunaré;Bait 
10429;Camiseta Salto do Dourado;Único/G;Camisetas;2;Cinza Médio;M;Camiseta;Dourado;Bait 
10251;Camiseta For Fisher;M/Único;Camisetas;2;Branca;G;Camiseta;For Fisher;Todos 
10244;"Camiseta ""Pesco, Logo Existo""";G/Único;Camisetas;1;Cinza Claro;GG;Camiseta;Pesco logo existo;Todos 
10244;"Camiseta ""Pesco, Logo Existo""";GG/Único;Camisetas;1;Cinza Claro;Único;Camiseta;Pesco logo existo;Todos 
10541;Boné Clássico Tucunaré;Único/Único;Lançamentos, Bonés;2;Preta;M;Boné;Tucunaré;Bait 
10482;Camiseta Boia Cevadeira;Único/M;Lançamentos, Camisetas;2;Preta;Único;Camiseta;Boia;Pesqueiro
10544;"Boné ""Esse é Bruto!""";Único/Único;Lançamentos, Bonés;2;Preta;Único;Boné;Esse é bruto;Pesqueiro
10538;Boné Clássico Dourado;Único/Único;Lançamentos, Bonés;2;Preta;Único;Boné;Dourado;Bait 
10546;Boné Robalo Maori;Único/Único;Lançamentos, Bonés;2;Azul Médio;Único;Boné;Robalo;Oceânica
10341;Boné Dourado Tribal;Único/Único;Bonés;2;Marrom/Amarelo;Único;Boné;Dourado;Bait 
10576;Caneca Salto do Dourado;Único/Único;Lançamentos, Utilitários > Canecas;1;Branca;Único;Caneca;Dourado;Bait 
10221;Sandália Dourado Tribal;39/40/Único;Sandálias;1;Marrom/Amarelo;Único;Sandália;Dourado;Bait 
10488;Camiseta Pampo Maori - Branca;Único/M;Lançamentos, Camisetas;1;Branca;M;Camiseta;Pampo;Oceânica
10036;Pulseira Dourado em Recorte;Único/Único;Acessórios > Pulseiras;1;Nude;Único;Pulseira;Dourado;Bait 
10029;Quadro Tucunaré (38x30);Único/Único;Utilitários > Quadros;1;Verde;Único;Quadro;Tucunaré;Bait 
10540;Boné Escama Tucunaré;Único/Único;Lançamentos, Bonés;1;Preto;Único;Boné;Tucunaré;Bait 
10578;Caneca Tucunaré Aquarela;Único/Único;Lançamentos, Utilitários > Canecas;1;Branca;Único;Caneca;Tucunaré;Bait 
10032;Pulseira Robalo Pingente;Único/Único;Acessórios > Pulseiras;1;Marrom;Único;Pulseira;Robalo;Oceânica
10194;Pulseira Macramê Robalo Preta e Marrom;Único/Único;Acessórios > Pulseiras;1;Preta e Marrom;Único;Pulseira;Robalo;Oceânica
10580;Caneca Cardume Fish TV;Único/Único;Lançamentos, Utilitários > Canecas;1;Azul Marinho;Único;Caneca;Fish TV;Todos 
10220;Sandália Traíra Tribal;41/42/Único;Sandálias;1;Marrom;Único;Sandália;Traira;Bait 
10551;Boné Tamba Fisher;Único/Único;Lançamentos, Bonés;1;Verde Pinheiro;Único;Boné;Tamba;Pesqueiro
10151;Cinto Dourado;110/Único;Acessórios > Cintos;1;Marrom;Único;Cinto;Dourado;Bait 
10430;Camiseta Salto do Tucunaré;Único/P;Camisetas;1;Branco;P;Camiseta;Tucunaré;Bait 
10432;Camiseta Salto da Cachorra;Único/M;Camisetas;1;Cinza Escuro;M;Camiseta;Cachorra;Bait 
10245;Camiseta Print Pesco Logo Existo;M/Único;Camisetas;1;Cinza Escuro;M;Camiseta;Pesco logo existo;Todos 
10230;Camiseta Tucunaré Tribal;M/Único;Camisetas;1;Verde Pinheiro/ Verde Menta;M;Camiseta;Tucunaré;Bait 
10424;Camiseta Mestre da Emboscada;Único/M;Camisetas;1;Nude;P;Camiseta;Mestre da emboscada;Todos 
10441;Camiseta Estrelas Fish TV;Único/P;Fish TV;1;Azul Royal ;ÚnicoXG;Camiseta;Fish TV;Todos 
10438;Camiseta Infantil Galera Fish TV;Único/10;Fish TV;1;Azul Celeste;Único;Camiseta;Fish TV;Todos 
10421;Camiseta Rei do Rio;Único/XG;Camisetas;1;Verde Lunar;Único;Camiseta;Dourado;Bait 
10055;Sandália Tucunaré;Único/37/38;Sandálias;1;Azul;Único;Sandália;Tucunaré;Bait 
10338;Boné Fish TV;Único/Único;Bonés, Fish TV;1;Azul ;Único;Boné;Fish TV;Todos 
10494;Camiseta Baby Look Tucunaré Aquarela - Branca;Único/M;Lançamentos, Camisetas;1;Branca;M;Camiseta;Tucunaré;Bait 
10054;Sandália Traíra;39/40/Único;Sandálias;1;Marrom;Único;Sandália;Traira;Bait 
10484;Camiseta Baby Look Cardume Fish TV;Único/P;Lançamentos, Camisetas, Fish TV;1;Azul;P;Camiseta;Fish TV;Todos 
10053;Sandália Tambaqui;Único/37/38;Sandálias;1;Verde;Único;Sandália;Tambaqui;Pesqueiro
10502;Camiseta Baby Look Tambaqui Aquarela - Preta;Único/G;Lançamentos, Camisetas;1;Preta;G;Camiseta;Tambaqui;Pesqueiro
10486;Camiseta Hei Matau Maori - Preta;Único/GG;Lançamentos, Camisetas;1;Preta;GG;Camiseta;Hei Matau;Todos 
10498;Camiseta Baby Look Robalo Maori;Único/P;Lançamentos, Camisetas;1;Branca;P;Camiseta;Robalo;Oceânica
10224;Sandália For Fisher;37/38/Único;Sandálias;1;Preto/Verde;Único;Sandália;For Fisher;Todos 
10489;Camiseta Pampo Maori - Azul;Único/M;Lançamentos, Camisetas;1;Azul;M;Camiseta;Pampo;Oceânica
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
