Início dos relatórios;Término dos relatórios;Nome da campanha;Veiculação;Reações à publicação;Comentários na publicação;Compartilhamentos da publicação;Cliques no link;Curtidas na Página;CPC (custo por clique no link) (BRL)
2018-07-09;2018-08-09;Camp_Ads;not_delivering;704;13;21;3863;72;0,220663
2018-07-09;2018-08-09;Camp_Vídeo;inactive;76;;6;;5;
2018-07-09;2018-08-09;Conj_Dia_do_Amigo;inactive;44;1;1;;1;
2018-07-09;2018-08-09;Conj_Carrossel_Site_Conversão;inactive;170;2;1;226;19;0,236637
