Status da campanha;Campanha;Nome do orçamento;Orçamento;Tipo de orçamento;Status;Tipo de estratégia de lances;Tipo de campanha;Impr.;Interações;Taxa de interação;Custo médio;Custo
Ativada;camp_remarketing_site;--;R$25,00 ;Diário;Qualificado;CPC (otimizado);Compras;72;3;4,17%;R$0,17 ;R$0,51 
Ativada;camp_shopping_recorrente;--;R$25,00 ;Diário;Qualificada (limitado);Maximizar cliques;Compras;7.039;87;1,24%;R$0,35 ;R$30,46 
