Destinos:;Região;Meta;Site;Redes ;Total;Média;Leads;Previsão;Gasto;Diferença;Status
Pesqueiro Aruja;Pesqueiros;0;0;0;0;0,00;0;R$0,00;R$ 0,00;R$ 0,00;
Cobras Pesca;Sudeste;30;3;13;16;0,53;-14;R$ 90.00;R$ 24,88;#VALOR!;Em Andamento
Barco-Hotel Pérola do Iguaçu;América;30;4;25;29;0,97;-1;R$ 90.00;R$ 33,58;#VALOR!;Em Andamento
Charlote Fishing;Operadoras;45;11;12;23;0,77;-22;R$ 90.00;R$ 38,85;#VALOR!;Em Andamento
Empedrado Fishing;Argentina;45;2;32;34;1,13;-11;R$ 90.00;R$ 43,69;#VALOR!;Em Andamento
Barco Hotel Celebridade;Pantanal;30;2;24;26;0,87;-4;R$ 90.00;R$ 33,64;#VALOR!;Em Andamento
Pousada Reserva do Pantanal;Pantanal;30;2;15;17;0,57;-13;R$ 90.00;R$ 33,62;#VALOR!;Em Andamento
Navio Kalypso;Pantanal;30;4;31;35;1,17;5;R$ 90.00;R$ 28,59;#VALOR!;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
