;;MINERAÇÃO BRUTA - IBOPE x GRADE DE PROGRAMAS;;;;;;;;;;;;;;;
;;IBOPE;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
GRADE PROGRAMAS;;Intervalos ;;;;;GRADE PROGRAMAS;;;;;;;;;;
Horário Início;;INT1;INTE2;INTE3;INTE4;;Programa;;Episódio;;Temporada;;N. Episódio;;Horário Termino;;Horário
12/05/2018  14:00:00 ;;14:00:00 - 14:15:00;14:15:00 - 14:30:00;14:30:00 - 14:45:00;14:45:00 - 15:00:00;;Momento da Pesca;;Pesca de caiaque no piscoso rio Teles Pires;;7;;7;;12/05/2018  15:00:00 ;;14:00
12/05/2018  15:00:00 ;;15:00:00 - 15:15:00;15:15:00 - 15:30:00;;;;Fishing Guide;;Esportiva pesca na Argentina;;2;;12;;12/05/2018  15:30:00 ;;15:00
12/05/2018  15:30:00 ;;15:30:00 - 15:45:00;15:45:00 - 16:00:00;;;;Fish TV News;;Empresas Campeonato Brasileiro em Pesqueiros 1;;5;;2;;12/05/2018  16:00:00 ;;15:30
12/05/2018  16:00:00 ;;16:00:00 - 16:15:00;16:15:00 - 16:30:00;;;;Saltwater;;Pescaria de robalos com jig head;;2;;3;;12/05/2018  16:30:00 ;;16:00
12/05/2018  16:30:00 ;;16:30:00 - 16:45:00;16:45:00 - 17:00:00;;;;Aquarismo;;As tecnologias por trás de uma gigante do aquarismo;;4;;10;;12/05/2018  17:00:00 ;;16:30
12/05/2018  17:00:00 ;;17:00:00 - 17:15:00;17:15:00 - 17:30:00;17:30:00 - 17:45:00;17:45:00 - 18:00:00;;Campeonato Brasileiro em Pesqueiros;;Etapa Parque Maeda 3 – 1º parte;;1;;13;;12/05/2018  18:00:00 ;;17:00
12/05/2018  18:00:00 ;;18:00:00 - 18:15:00;18:15:00 - 18:30:00;;;;Aquarismo;;As tecnologias por trás de uma gigante do aquarismo;;4;;10;;12/05/2018  18:30:00 ;;18:00
12/05/2018  18:30:00 ;;18:30:00 - 18:45:00;18:45:00 - 19:00:00;19:00:00 - 19:15:00;19:15:00 - 19:30:00;;Pura Pesca;;Pescaria de tucunarés pelos afluentes do rio Negro;;2;;14;;12/05/2018  19:30:00 ;;18:30
12/05/2018  19:30:00 ;;19:30:00 - 19:45:00;19:45:00 - 20:00:00;;;;Saltwater;;Pescaria de robalos com jig head;;2;;3;;12/05/2018  20:00:00 ;;19:30
12/05/2018  20:00:00 ;;20:00:00 - 20:15:00;20:15:00 - 20:30:00;20:30:00 - 20:45:00;20:45:00 - 21:00:00;;Na Pegada do Fly;;A pegada dos dourados argentinos;;7;;5;;12/05/2018  21:00:00 ;;20:00
