Horário Início;;INT1;INTE2;INTE3;INTE4;;Programa;;Episódio;;Temporada;;N. Episódio;;INT1;INTE2;INTE3;INTE4;;Total_Domicilio;;INT1;INTE2;INTE3;INTE4;;Total_Individuos;
12/05/2018  14:00:00 ;;14:00:00 - 14:15:00;14:15:00 - 14:30:00;14:30:00 - 14:45:00;14:45:00 - 15:00:00;;Momento da Pesca;;Pesca de caiaque no piscoso rio Teles Pires;;7;;7;;00:00:00;00:02:37;00:09:29;00:01:39;;00:13:45;;00:00:00;00:02:40;00:09:22;00:01:36;;00:13:38;
12/05/2018  15:00:00 ;;15:00:00 - 15:15:00;15:15:00 - 15:30:00;;;;Fishing Guide;;Esportiva pesca na Argentina;;2;;12;;00:01:18;00:01:00;;;;00:02:18;;00:01:21;00:01:00;;;;00:02:21;
12/05/2018  15:30:00 ;;15:30:00 - 15:45:00;15:45:00 - 16:00:00;;;;Fish TV News;;Empresas Campeonato Brasileiro em Pesqueiros 1;;5;;2;;00:08:00;00:00:00;;;;00:08:00;;00:08:00;00:00:00;;;;00:08:00;
12/05/2018  16:00:00 ;;16:00:00 - 16:15:00;16:15:00 - 16:30:00;;;;Saltwater;;Pescaria de robalos com jig head;;2;;3;;00:03:38;00:04:22;;;;00:08:00;;00:03:39;00:04:41;;;;00:08:20;
12/05/2018  16:30:00 ;;16:30:00 - 16:45:00;16:45:00 - 17:00:00;;;;Aquarismo;;As tecnologias por trás de uma gigante do aquarismo;;4;;10;;00:03:00;00:00:00;;;;00:03:00;;00:03:00;00:00:00;;;;00:03:00;
12/05/2018  17:00:00 ;;17:00:00 - 17:15:00;17:15:00 - 17:30:00;17:30:00 - 17:45:00;17:45:00 - 18:00:00;;Campeonato Brasileiro em Pesqueiros;;Etapa Parque Maeda 3 – 1º parte;;1;;13;;00:01:00;00:02:00;00:00:00;00:00:00;;00:03:00;;00:01:00;00:02:00;00:00:00;00:00:00;;00:03:00;
12/05/2018  18:00:00 ;;18:00:00 - 18:15:00;18:15:00 - 18:30:00;;;;Aquarismo;;As tecnologias por trás de uma gigante do aquarismo;;4;;10;;00:00:00;00:03:00;;;;00:03:00;;00:00:00;00:03:00;;;;00:03:00;
12/05/2018  18:30:00 ;;18:30:00 - 18:45:00;18:45:00 - 19:00:00;19:00:00 - 19:15:00;19:15:00 - 19:30:00;;Pura Pesca;;Pescaria de tucunarés pelos afluentes do rio Negro;;2;;14;;00:05:07;00:00:00;00:03:00;00:01:00;;00:09:07;;00:04:53;00:00:00;00:03:00;00:01:00;;00:08:53;
12/05/2018  19:30:00 ;;19:30:00 - 19:45:00;19:45:00 - 20:00:00;;;;Saltwater;;Pescaria de robalos com jig head;;2;;3;;00:01:00;00:04:22;;;;00:05:22;;00:01:00;00:04:27;;;;00:05:27;
12/05/2018  20:00:00 ;;20:00:00 - 20:15:00;20:15:00 - 20:30:00;20:30:00 - 20:45:00;20:45:00 - 21:00:00;;Na Pegada do Fly;;A pegada dos dourados argentinos;;7;;5;;00:05:44;00:03:11;00:01:00;00:01:58;;00:11:53;;00:05:46;00:02:43;00:01:00;00:02:01;;00:11:30;
12/05/2018  21:00:00 ;;21:00:00 - 21:15:00;21:15:00 - 21:30:00;;;;A Arte do Atado;;Formiga feita de tapete;;5;;1;;00:03:58;00:03:22;;;;00:07:20;;00:03:49;00:03:24;;;;00:07:13;
12/05/2018  21:30:00 ;;21:30:00 - 21:45:00;21:45:00 - 22:00:00;;;;Elas na Pesca;;Pescando nos canais do Aquafort;;4;;7;;00:02:06;00:03:00;;;;00:05:06;;00:02:07;00:03:00;;;;00:05:07;
12/05/2018  22:00:00 ;;22:00:00 - 22:15:00;22:15:00 - 22:30:00;;;;Sabores;;Carne suína e legumes assados, sanduíche de carne desfiada e banana assada;;2;;3;;00:01:54;00:13:00;;;;00:14:54;;00:01:57;00:13:00;;;;00:14:57;
12/05/2018  22:30:00 ;;22:30:00 - 22:45:00;22:45:00 - 23:00:00;23:00:00 - 23:15:00;23:15:00 - 23:30:00;;Campeonato Brasileiro em Pesqueiros;;Etapa Parque Maeda 3 – 1º parte;;1;;13;;00:12:00;00:12:00;00:07:16;00:06:55;;00:38:11;;00:12:00;00:12:00;00:07:12;00:06:52;;00:38:04;
12/05/2018  23:30:00 ;;23:30:00 - 23:45:00;23:45:00 - 24:00:00;;;;Fish TV News;;Empresas Campeonato Brasileiro em Pesqueiros 2;;5;;4;;00:04:39;00:15:00;;;;00:19:39;;00:04:23;00:15:00;;;;00:19:23;
13/05/2018  00:00:00 ;;24:00:00 - 24:15:00;24:15:00 - 24:30:00;24:30:00 - 24:45:00;24:45:00 - 25:00:00;;A Meta;;Redemoinho;;2;;3;;00:07:41;00:10:59;00:04:00;00:00:00;;00:22:40;;00:05:45;00:10:19;00:04:00;00:01:00;;00:21:04;
13/05/2018  01:00:00 ;;25:00:00 - 25:15:00;25:15:00 - 25:30:00;;;;Pesca Dinâmica;;Expedição Pantanal – rodada e corrico;;3;;7;;00:00:00;00:09:00;;;;00:09:00;;00:00:00;00:09:00;;;;00:09:00;
13/05/2018  01:30:00 ;;25:30:00 - 25:45:00;25:45:00 - 26:00:00;;;;Sabores;;Carne suína e legumes assados, sanduíche de carne desfiada e banana assada;;2;;3;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
13/05/2018  02:00:00 ;;26:00:00 - 26:15:00;26:15:00 - 26:30:00;26:30:00 - 26:45:00;26:45:00 - 27:00:00;;Na Pegada do Fly;;A pegada dos dourados argentinos;;7;;5;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;
13/05/2018  03:00:00 ;;27:00:00 - 27:15:00;27:15:00 - 27:30:00;27:30:00 - 27:45:00;27:45:00 - 28:00:00;;Momento da Pesca;;Pesca variada no rio Cururu;;6;;24;;00:00:00;00:00:00;00:09:00;00:07:00;;00:16:00;;00:00:00;00:00:00;00:09:00;00:00:00;;00:09:00;
13/05/2018 04:00:00;;28:00:00 - 28:15:00;28:15:00 - 28:30:00;;;;Provas e Torneios;;Circuito Brasil-Sul 2018 – 1ª Etapa – Imbé-RS;;5;;25;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
13/05/2018  04:30:00 ;;28:30:00 - 28:45:00;28:45:00 - 29:00:00;29:00:00 - 29:15:00;29:15:00 - 29:30:00;;Pesque e Pague;;Pescaria e amizade na Estância Pesqueira Campos;;6;;7;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;
13/05/2018  05:30:00 ;;29:30:00 - 29:45:00;29:45:00 - 30:00:00;06:00:00 - 06:15:00;06:15:00 - 06:30:00;;Destinos;;Navegue pelo Rio Negro com a Ecofishing – parte 2;;4;;28;;00:00:00;00:00:00;00:01:00;00:00:00;;00:01:00;;00:00:00;00:00:00;00:01:00;00:00:00;;00:01:00;
13/05/2018  06:00:00 ;;06:00:00 - 06:15:00;06:15:00 - 06:30:00;;;;Pasión Por La Pesca;;Pescaria variada em Itatí;;5;;23;;00:01:00;00:00:00;;;;00:01:00;;00:01:00;00:00:00;;;;00:01:00;
13/05/2018  06:30:00 ;;06:30:00 - 06:45:00;06:45:00 - 07:00:00;;;;Aqua Negócios;;Carcinicultura marinha – sistema trifásico e intensivo;;3;;5;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
