Horário Início;;INT1;INTE2;INTE3;INTE4;;Programa;;Episódio;;Temporada;;N. Episódio;;INT1;INTE2;INTE3;INTE4;;Total_Domicilio;;INT1;INTE2;INTE3;INTE4;;Total_Individuos;
18/05/2018  09:30:00 ;;09:30:00 - 09:45:00;09:45:00 - 10:00:00;;;;Pasión Por La Pesca;;Belas traíras argentinas;;5;;1;;00:00:00;00:01:00;;;;00:01:00;;00:00:00;00:01:00;;;;00:01:00;
18/05/2018  10:00:00 ;;10:00:00 - 10:15:00;10:15:00 - 10:30:00;;;;FishTV Teste;;Linha Econylon Platinum e carretilha Hercules GTO 10BB;;4;;14;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
18/05/2018  10:30:00 ;;10:30:00 - 10:45:00;10:45:00 - 11:00:00;11:00:00 - 11:15:00;11:15:00 - 11:30:00;;Na Pegada do Fly;;Traíras e apaiaris do rio Mutum;;7;;6;;00:00:00;00:00:00;00:02:00;00:01:00;;00:03:00;;00:00:00;00:00:00;00:02:00;00:01:00;;00:03:00;
18/05/2018  11:30:00 ;;11:30:00 - 11:45:00;11:45:00 - 12:00:00;;;;A Arte do Atado;;Isca sapinho de preguiçoso;;5;;2;;00:01:00;00:02:00;;;;00:03:00;;00:01:00;00:02:00;;;;00:03:00;
18/05/2018  12:00:00 ;;12:00:00 - 12:15:00;12:15:00 - 12:30:00;;;;Coração de Pescador;;Em busca do pirarucu nas águas do Cristalino;;4;;15;;00:00:00;00:04:00;;;;00:04:00;;00:00:00;00:04:00;;;;00:04:00;
18/05/2018  12:30:00 ;;12:30:00 - 12:45:00;12:45:00 - 13:00:00;13:00:00 - 13:15:00;13:15:00 - 13:30:00;;Campeonato Brasileiro em Pesqueiros;;Etapa Parque Maeda 3 – 2º parte;;1;;14;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;
18/05/2018  13:30:00 ;;13:30:00 - 13:45:00;13:45:00 - 14:00:00;;;;Fish TV News;;Campeonato Goiano em Pesqueiros – Etapa Paraíso Verde;;5;;5;;00:05:00;00:10:00;;;;00:15:00;;00:05:00;00:10:00;;;;00:15:00;
18/05/2018  14:00:00 ;;14:00:00 - 14:15:00;14:15:00 - 14:30:00;;;;Biopesca;;Variados peixes de couro do rio Paraguai;;5;;9;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
18/05/2018  14:30:00 ;;14:30:00 - 14:45:00;14:45:00 - 15:00:00;;;;Saltwater;;Pescando as valentes miraguaias;;2;;4;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
18/05/2018  15:00:00 ;;15:00:00 - 15:15:00;15:15:00 - 15:30:00;;;;Sabores;;Carne suína e legumes assados, sanduíche de carne desfiada e banana assada;;2;;3;;00:08:17;00:01:00;;;;00:09:17;;00:09:02;00:01:00;;;;00:10:02;
18/05/2018  15:30:00 ;;15:30:00 - 15:45:00;15:45:00 - 16:00:00;;;;Sabores;;Moqueca de camarão, camarão na abóbora, tilápia ao molho e provolone;;2;;4;;00:01:00;00:04:53;;;;00:05:53;;00:01:00;00:04:25;;;;00:05:25;
18/05/2018  16:00:00 ;;16:00:00 - 16:15:00;16:15:00 - 16:30:00;;;;Elas na Pesca;;Variada pescaria na Argentina;;4;;8;;00:04:43;00:07:34;;;;00:12:17;;00:06:21;00:09:42;;;;00:16:03;
18/05/2018  16:30:00 ;;16:30:00 - 16:45:00;16:45:00 - 17:00:00;;;;Destinos;;Uma aventura com a Tribo da Pesca na pousada Asa Branca;;4;;29;;00:03:51;00:04:57;;;;00:08:48;;00:03:26;00:05:35;;;;00:09:01;
18/05/2018  17:00:00 ;;17:00:00 - 17:15:00;17:15:00 - 17:30:00;17:30:00 - 17:45:00;17:45:00 - 18:00:00;;Pura Pesca;;Tucunarés do lago Tracajá;;2;;15;;00:06:18;00:07:37;00:02:00;00:02:00;;00:17:55;;00:06:24;00:07:44;00:02:00;00:02:00;;00:18:08;
18/05/2018  18:00:00 ;;18:00:00 - 18:15:00;18:15:00 - 18:30:00;;;;Pesca Dinâmica;;Expedição Pantanal - Pescaria apoitada de pacus com massa;;3;;8;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
18/05/2018  18:30:00 ;;18:30:00 - 18:45:00;18:45:00 - 19:00:00;;;;Coração de Pescador;;Tambaqui no Teles Pires;;4;;23;;00:01:00;00:01:00;;;;00:02:00;;00:01:00;00:01:00;;;;00:02:00;
18/05/2018  19:00:00 ;;19:00:00 - 19:15:00;19:15:00 - 19:30:00;;;;Biopesca;;Variados peixes de couro do rio Paraguai;;5;;9;;00:01:00;00:02:42;;;;00:03:42;;00:01:00;00:02:42;;;;00:03:42;
18/05/2018 19:30:00;;19:30:00 - 19:45:00;19:45:00 - 20:00:00;;;;Aqua Negócios;;Aeração na criação de camarão marinho;;3;;6;;00:04:00;00:00:00;;;;00:04:00;;00:04:00;00:00:00;;;;00:04:00;
18/05/2018  20:00:00 ;;20:00:00 - 20:15:00;20:15:00 - 20:30:00;20:30:00 - 20:45:00;20:45:00 - 21:00:00;;Momento da Pesca;;Tucunarés do rio Itapará;;7;;8;;00:03:31;00:15:00;00:06:55;00:15:00;;00:40:26;;00:03:25;00:15:00;00:06:21;00:15:00;;00:39:46;
18/05/2018  21:00:00 ;;21:00:00 - 21:15:00;21:15:00 - 21:30:00;;;;Fishing Guide;;Tucunarés-açu do rio Negro;;2;;1;;00:07:50;00:07:37;;;;00:15:27;;00:08:17;00:07:44;;;;00:16:01;
18/05/2018  21:30:00 ;;21:30:00 - 21:45:00;21:45:00 - 22:00:00;;;;Fish TV News;;Empresas Campeonato Brasileiro em Pesqueiros 1;;5;;2;;00:08:58;00:10:13;;;;00:19:11;;00:09:50;00:11:11;;;;00:21:01;
18/05/2018  22:00:00 ;;22:00:00 - 22:15:00;22:15:00 - 22:30:00;;;;Saltwater;;Pescando as valentes miraguaias;;2;;4;;00:06:02;00:08:32;;;;00:14:34;;00:06:11;00:08:37;;;;00:14:48;
18/05/2018  22:30:00 ;;22:30:00 - 22:45:00;22:45:00 - 23:00:00;;;;Aquarismo;;Os peixes ornamentais do rio Xingu;;4;;22;;00:04:42;00:15:00;;;;00:19:42;;00:04:48;00:15:00;;;;00:19:48;
18/05/2018  23:00:00 ;;23:00:00 - 23:15:00;23:15:00 - 23:30:00;23:30:00 - 23:45:00;23:45:00 - 24:00:00;;Campeonato Brasileiro em Pesqueiros;;Etapa Parque Maeda 3 – 2º parte;;1;;14;;00:15:00;00:07:09;;;;00:22:09;;00:15:00;00:08:01;;;;00:23:01;
19/05/2018  00:00:00 ;;24:00:00 - 24:15:00;24:15:00 - 24:30:00;;;;Custom Fishing;;Vara customizada de molinete para isca artificial leve;;1;;5;;00:11:00;00:00:00;;;;00:11:00;;00:11:00;00:00:00;;;;00:11:00;
19/05/2018  00:30:00 ;;24:30:00 - 24:45:00;24:45:00 - 25:00:00;;;;Biopesca;;Pescaria de aruanã com isca artificial no rio Araguaia;;4;;11;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
19/05/2018  01:00:00 ;;25:00:00 - 25:15:00;25:15:00 - 25:30:00;;;;Aquarismo;;Manutenção e limpeza de aquário – Parte 2;;2;;14;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
19/05/2018  01:30:00 ;;25:30:00 - 25:45:00;25:45:00 - 26:00:00;26:00:00 - 26:15:00;26:15:00 - 26:30:00;;Pesque e Pague;;Peixe dia e noite no Pesqueiro Cat Fish;;6;;8;;00:01:00;00:00:00;00:00:00;00:00:00;;00:01:00;;00:01:00;00:00:00;00:00:00;00:00:00;;00:01:00;
19/05/2018  02:30:00 ;;26:30:00 - 26:45:00;26:45:00 - 27:00:00;27:00:00 - 27:15:00;27:15:00 - 27:30:00;;Momento da Pesca;;Tucunarés do rio Itapará;;7;;8;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;
19/05/2018  03:30:00 ;;27:30:00 - 27:45:00;27:45:00 - 28:00:00;;;;Pasión Por La Pesca;;Belas traíras argentinas;;5;;1;;00:00:00;00:05:00;;;;00:05:00;;00:00:00;00:05:00;;;;00:05:00;
19/05/2018  04:00:00 ;;28:00:00 - 28:15:00;28:15:00 - 28:30:00;;;;FishTV Teste;;Linha Econylon Platinum e carretilha Hercules GTO 10BB;;4;;14;;00:15:00;00:06:00;;;;00:21:00;;00:15:00;00:06:00;;;;00:21:00;
19/05/2018  04:30:00 ;;28:30:00 - 28:45:00;28:45:00 - 29:00:00;29:00:00 - 29:15:00;29:15:00 - 29:30:00;;Na Pegada do Fly;;Traíras e apaiaris do rio Mutum;;7;;6;;00:13:00;00:03:00;00:00:00;00:00:00;;00:16:00;;00:13:00;00:03:00;00:00:00;00:00:00;;00:16:00;
19/05/2018  05:30:00 ;;29:30:00 - 29:45:00;29:45:00 - 30:00:00;;;;A Arte do Atado;;Isca sapinho de preguiçoso;;5;;2;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
19/05/2018  06:00:00 ;;06:00:00 - 06:15:00;06:15:00 - 06:30:00;06:30:00 - 06:45:00;06:45:00 - 07:00:00;;A Meta;;Jacaré-açu;;2;;4;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;
19/05/2018  07:00:00 ;;07:00:00 - 07:15:00;07:15:00 - 07:30:00;;;;Pesca Dinâmica;;Expedição Pantanal - Pescaria apoitada de pacus com massa;;3;;8;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
19/05/2018  07:30:00 ;;07:30:00 - 07:45:00;07:45:00 - 08:00:00;;;;Sabores;;Moqueca de camarão, camarão na abóbora, tilápia ao molho e provolone;;2;;4;;00:00:00;00:01:25;;;;00:01:25;;00:00:00;00:01:18;;;;00:01:18;
19/05/2018  08:00:00 ;;08:00:00 - 08:15:00;08:15:00 - 08:30:00;;;;Biopesca;;Pescaria de aruanã com isca artificial no rio Araguaia;;4;;11;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
19/05/2018  08:30:00 ;;08:30:00 - 08:45:00;08:45:00 - 09:00:00;;;;Aqua Negócios;;Aeração na criação de camarão marinho;;3;;6;;00:04:55;00:04:00;;;;00:08:55;;00:05:36;00:04:00;;;;00:09:36;
19/05/2018  09:00:00 ;;09:00:00 - 09:15:00;09:15:00 - 09:30:00;09:30:00 - 09:45:00;09:45:00 - 10:00:00;;Momento da Pesca;;Pesca variada no rio Cururu;;6;;24;;00:00:00;00:06:00;00:03:27;00:15:00;;00:24:27;;00:00:00;00:06:00;00:03:22;00:15:00;;00:24:22;
19/05/2018  10:00:00 ;;10:00:00 - 10:15:00;10:15:00 - 10:30:00;;;;Provas e Torneios;;2º Torneio Cabras da Pesca;;5;;26;;00:08:55;00:15:00;;;;00:23:55;;00:08:51;00:15:00;;;;00:23:51;
19/05/2018  10:30:00 ;;10:30:00 - 10:45:00;10:45:00 - 11:00:00;11:00:00 - 11:15:00;11:15:00 - 11:30:00;;Pesque e Pague;;Peixe dia e noite no Pesqueiro Cat Fish;;6;;8;;00:15:00;00:15:00;00:07:44;00:07:13;;00:44:57;;00:15:00;00:15:00;00:08:00;00:06:43;;00:44:43;
19/05/2018  11:30:00 ;;11:30:00 - 11:45:00;11:45:00 - 12:00:00;;;;Destinos;;Uma aventura com a Tribo da Pesca na pousada Asa Branca;;4;;29;;00:15:00;00:13:00;;;;00:28:00;;00:15:00;00:13:00;;;;00:28:00;
19/05/2018  12:00:00 ;;12:00:00 - 12:15:00;12:15:00 - 12:30:00;;;;Pesca Dinâmica;;Expedição Pantanal - Pescaria apoitada de pacus com massa;;3;;8;;00:00:00;00:05:40;;;;00:05:40;;00:00:00;00:07:26;;;;00:07:26;
19/05/2018  12:30:00 ;;12:30:00 - 12:45:00;12:45:00 - 13:00:00;;;;Coração de Pescador;;Tambaqui no Teles Pires;;4;;23;;00:03:53;00:03:08;;;;00:07:01;;00:04:33;00:03:55;;;;00:08:28;
19/05/2018  13:00:00 ;;13:00:00 - 13:15:00;13:15:00 - 13:30:00;;;;Biopesca;;Variados peixes de couro do rio Paraguai;;5;;9;;00:00:00;00:07:00;;;;00:07:00;;00:00:00;00:07:00;;;;00:07:00;
19/05/2018  13:30:00 ;;13:30:00 - 13:45:00;13:45:00 - 14:00:00;;;;Aqua Negócios;;Aeração na criação de camarão marinho;;3;;6;;00:15:00;00:06:58;;;;00:21:58;;00:15:00;00:05:21;;;;00:20:21;
19/05/2018  14:00:00 ;;14:00:00 - 14:15:00;14:15:00 - 14:30:00;14:30:00 - 14:45:00;14:45:00 - 15:00:00;;Momento da Pesca;;Tucunarés do rio Itapará;;7;;8;;00:05:33;00:07:43;00:10:21;00:01:42;;00:25:19;;00:04:57;00:07:44;00:11:45;00:01:38;;00:26:04;
19/05/2018  15:00:00 ;;15:00:00 - 15:15:00;15:15:00 - 15:30:00;;;;Fishing Guide;;Tucunarés-açu do rio Negro;;2;;1;;00:08:00;00:01:00;;;;00:09:00;;00:08:00;00:01:00;;;;00:09:00;
19/05/2018  15:30:00 ;;15:30:00 - 15:45:00;15:45:00 - 16:00:00;;;;Fish TV News;;Empresas Campeonato Brasileiro em Pesqueiros 1;;5;;2;;00:01:48;00:00:00;;;;00:01:48;;00:01:47;00:00:00;;;;00:01:47;
19/05/2018  16:00:00 ;;16:00:00 - 16:15:00;16:15:00 - 16:30:00;;;;Saltwater;;Pescando as valentes miraguaias;;2;;4;;00:01:00;00:00:00;;;;00:01:00;;00:01:00;00:00:00;;;;00:01:00;
19/05/2018  16:30:00 ;;16:30:00 - 16:45:00;16:45:00 - 17:00:00;;;;Aquarismo;;Os peixes ornamentais do rio Xingu;;4;;22;;00:01:00;00:00:00;;;;00:01:00;;00:01:00;00:00:00;;;;00:01:00;
19/05/2018  17:00:00 ;;17:00:00 - 17:15:00;17:15:00 - 17:30:00;17:30:00 - 17:45:00;17:45:00 - 18:00:00;;Campeonato Brasileiro em Pesqueiros;;Etapa Parque Maeda 3 – 2º parte;;1;;14;;00:01:00;00:05:18;00:01:44;00:03:42;;00:11:44;;00:01:00;00:07:42;00:02:12;00:04:15;;00:15:09;
19/05/2018  18:00:00 ;;18:00:00 - 18:15:00;18:15:00 - 18:30:00;;;;Aquarismo;;Conheça o espetacular oceanário de Lisboa;;4;;11;;00:00:00;00:01:00;;;;00:01:00;;00:00:00;00:01:00;;;;00:01:00;
19/05/2018  18:30:00 ;;18:30:00 - 18:45:00;18:45:00 - 19:00:00;19:00:00 - 19:15:00;19:15:00 - 19:30:00;;Pura Pesca;;Tucunarés do lago Tracajá;;2;;15;;00:02:44;00:03:44;00:01:13;00:01:00;;00:08:41;;00:03:09;00:02:40;00:01:14;00:01:00;;00:08:03;
19/05/2018  19:30:00 ;;19:30:00 - 19:45:00;19:45:00 - 20:00:00;;;;Saltwater;;Pescando as valentes miraguaias;;2;;4;;00:14:00;00:08:45;;;;00:22:45;;00:14:00;00:08:43;;;;00:22:43;
19/05/2018  20:00:00 ;;20:00:00 - 20:15:00;20:15:00 - 20:30:00;20:30:00 - 20:45:00;20:45:00 - 21:00:00;;Na Pegada do Fly;;Traíras e apaiaris do rio Mutum;;7;;6;;00:05:40;00:04:00;00:01:35;00:02:30;;00:13:45;;00:04:58;00:04:00;00:01:24;00:02:28;;00:12:50;
19/05/2018  21:00:00 ;;21:00:00 - 21:15:00;21:15:00 - 21:30:00;;;;A Arte do Atado;;Isca sapinho de preguiçoso;;5;;2;;00:01:00;00:01:30;;;;00:02:30;;00:01:00;00:01:20;;;;00:02:20;
19/05/2018  21:30:00 ;;21:30:00 - 21:45:00;21:45:00 - 22:00:00;;;;Elas na Pesca;;Variada pescaria na Argentina;;4;;8;;00:00:00;00:03:33;;;;00:03:33;;00:00:00;00:03:36;;;;00:03:36;
19/05/2018 22:00:00;;22:00:00 - 22:15:00;22:15:00 - 22:30:00;;;;Sabores;;Moqueca de camarão, camarão na abóbora, tilápia ao molho e provolone;;2;;4;;00:03:53;00:04:08;;;;00:08:01;;00:04:55;00:06:06;;;;00:11:01;
19/05/2018  22:30:00 ;;22:30:00 - 22:45:00;22:45:00 - 23:00:00;23:00:00 - 23:15:00;23:15:00 - 23:30:00;;Campeonato Brasileiro em Pesqueiros;;Etapa Parque Maeda 3 – 2º parte;;1;;14;;00:08:41;00:02:00;00:01:00;00:07:00;;00:18:41;;00:06:18;00:02:00;00:01:00;00:07:00;;00:16:18;
19/05/2018  23:30:00 ;;23:30:00 - 23:45:00;23:45:00 - 24:00:00;;;;Fish TV News;;Congresso Brasileiro de Engenharia de Pesca;;5;;6;;00:05:12;00:02:00;;;;00:07:12;;00:03:59;00:02:00;;;;00:05:59;
20/05/2018  00:00:00 ;;24:00:00 - 24:15:00;24:15:00 - 24:30:00;24:30:00 - 24:45:00;24:45:00 - 25:00:00;;A Meta;;Jacaré-açu;;2;;4;;00:05:00;00:01:00;00:00:00;00:00:00;;00:06:00;;00:05:00;00:01:00;00:00:00;00:00:00;;00:06:00;
20/05/2018  01:00:00 ;;25:00:00 - 25:15:00;25:15:00 - 25:30:00;;;;Pesca Dinâmica;;Expedição Pantanal - Pescaria apoitada de pacus com massa;;3;;8;;00:02:00;00:00:00;;;;00:02:00;;00:02:00;00:00:00;;;;00:02:00;
20/05/2018  01:30:00 ;;25:30:00 - 25:45:00;25:45:00 - 26:00:00;;;;Sabores;;Moqueca de camarão, camarão na abóbora, tilápia ao molho e provolone;;2;;4;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
20/05/2018  02:00:00 ;;26:00:00 - 26:15:00;26:15:00 - 26:30:00;;;;Biopesca;;Pescaria de aruanã com isca artificial no rio Araguaia;;4;;11;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
20/05/2018  02:30:00 ;;26:30:00 - 26:45:00;26:45:00 - 27:00:00;;;;Aqua Negócios;;Aeração na criação de camarão marinho;;3;;6;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
20/05/2018  03:00:00 ;;27:00:00 - 27:15:00;27:15:00 - 27:30:00;27:30:00 - 27:45:00;27:45:00 - 28:00:00;;Momento da Pesca;;Pesca variada no rio Cururu;;6;;24;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;
20/05/2018  04:00:00 ;;28:00:00 - 28:15:00;28:15:00 - 28:30:00;;;;Provas e Torneios;;2º Torneio Cabras da Pesca;;5;;26;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
20/05/2018  04:30:00 ;;28:30:00 - 28:45:00;28:45:00 - 29:00:00;29:00:00 - 29:15:00;29:15:00 - 29:30:00;;Pesque e Pague;;Peixe dia e noite no Pesqueiro Cat Fish;;6;;8;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;;00:00:00;00:00:00;00:00:00;00:00:00;;00:00:00;
20/05/2018  05:30:00 ;;29:30:00 - 29:45:00;29:45:00 - 30:00:00;;;;Destinos;;Uma aventura com a Tribo da Pesca na pousada Asa Branca;;4;;29;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
20/05/2018  06:00:00 ;;06:00:00 - 06:15:00;06:15:00 - 06:30:00;;;;Pasión Por La Pesca;;Belas traíras argentinas;;5;;1;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
20/05/2018  06:30:00 ;;06:30:00 - 06:45:00;06:45:00 - 07:00:00;;;;Aqua Negócios;;Aeração na criação de camarão marinho;;3;;6;;00:00:00;00:03:00;;;;00:03:00;;00:00:00;00:03:00;;;;00:03:00;
20/05/2018  07:00:00 ;;07:00:00 - 07:15:00;07:15:00 - 07:30:00;;;;Fishing Guide;;Tucunarés-açu do rio Negro;;2;;1;;00:15:00;00:10:03;;;;00:25:03;;00:15:00;00:08:52;;;;00:23:52;
20/05/2018  07:30:00 ;;07:30:00 - 07:45:00;07:45:00 - 08:00:00;;;;A Arte do Atado;;Isca sapinho de preguiçoso;;5;;2;;00:04:00;00:00:00;;;;00:04:00;;00:04:00;00:00:00;;;;00:04:00;
20/05/2018  08:00:00 ;;08:00:00 - 08:15:00;08:15:00 - 08:30:00;08:30:00 - 08:45:00;08:45:00 - 09:00:00;;Pura Pesca;;Tucunarés do lago Tracajá;;2;;15;;00:04:14;00:02:00;00:03:36;00:04:54;;00:14:44;;00:04:09;00:02:00;00:03:20;00:04:58;;00:14:27;
20/05/2018  09:00:00 ;;09:00:00 - 09:15:00;09:15:00 - 09:30:00;;;;FishTV Teste;;Linha Econylon Platinum e carretilha Hercules GTO 10BB;;4;;14;;00:01:00;00:01:00;;;;00:02:00;;00:01:00;00:01:00;;;;00:02:00;
20/05/2018  09:30:00 ;;09:30:00 - 09:45:00;09:45:00 - 10:00:00;10:00:00 - 10:15:00;10:15:00 - 10:30:00;;Momento da Pesca;;Tucunarés do rio Itapará;;7;;8;;00:03:00;00:03:00;00:01:00;00:02:00;;00:09:00;;00:03:00;00:03:00;00:01:00;00:02:00;;00:09:00;
20/05/2018  10:30:00 ;;10:30:00 - 10:45:00;10:45:00 - 11:00:00;;;;Biopesca;;Dourados do rio Manso;;5;;10;;00:01:00;00:01:54;;;;00:02:54;;00:01:00;00:01:54;;;;00:02:54;
20/05/2018  11:00:00 ;;11:00:00 - 11:15:00;11:15:00 - 11:30:00;11:30:00 - 11:45:00;11:45:00 - 12:00:00;;A Meta;;Jacaré-açu;;2;;4;;00:06:00;00:04:46;00:00:00;00:00:00;;00:10:46;;00:06:00;00:04:48;00:00:00;00:00:00;;00:10:48;
20/05/2018  12:00:00 ;;12:00:00 - 12:15:00;12:15:00 - 12:30:00;;;;Aquarismo;;Conheça o espetacular oceanário de Lisboa;;4;;11;;00:08:00;00:02:40;;;;00:10:40;;00:08:00;00:02:16;;;;00:10:16;
20/05/2018  12:30:00 ;;12:30:00 - 12:45:00;12:45:00 - 13:00:00;13:00:00 - 13:15:00;13:15:00 - 13:30:00;;Pura Pesca;;Tucunarés do lago Tracajá;;2;;15;;00:01:37;00:06:13;00:08:16;00:05:00;;00:21:06;;00:01:29;00:06:30;00:06:54;00:05:11;;00:20:04;
20/05/2018  13:30:00 ;;13:30:00 - 13:45:00;13:45:00 - 14:00:00;;;;Saltwater;;Pescando as valentes miraguaias;;2;;4;;00:06:56;00:05:37;;;;00:12:33;;00:06:19;00:04:42;;;;00:11:01;
20/05/2018  14:00:00 ;;14:00:00 - 14:15:00;14:15:00 - 14:30:00;14:30:00 - 14:45:00;14:45:00 - 15:00:00;;Na Pegada do Fly;;Traíras e apaiaris do rio Mutum;;7;;6;;00:03:03;00:04:22;00:15:00;00:06:18;;00:28:43;;00:03:01;00:05:12;00:15:00;00:07:32;;00:30:45;
20/05/2018  15:00:00 ;;15:00:00 - 15:15:00;15:15:00 - 15:30:00;;;;A Arte do Atado;;Isca sapinho de preguiçoso;;5;;2;;00:04:57;00:03:00;;;;00:07:57;;00:04:42;00:03:00;;;;00:07:42;
20/05/2018  15:30:00 ;;15:30:00 - 15:45:00;15:45:00 - 16:00:00;;;;Elas na Pesca;;Variada pescaria na Argentina;;4;;8;;00:13:00;00:01:00;;;;00:14:00;;00:13:00;00:01:00;;;;00:14:00;
20/05/2018  16:00:00 ;;16:00:00 - 16:15:00;16:15:00 - 16:30:00;;;;Sabores;;Moqueca de camarão, camarão na abóbora, tilápia ao molho e provolone;;2;;4;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
20/05/2018  16:30:00 ;;16:30:00 - 16:45:00;16:45:00 - 17:00:00;17:00:00 - 17:15:00;17:15:00 - 17:30:00;;Campeonato Brasileiro em Pesqueiros;;Etapa Parque Maeda 4 – 1º parte;;1;;15;;00:00:00;00:02:00;00:00:00;00:01:28;;00:03:28;;00:00:00;00:02:00;00:00:00;00:01:21;;00:03:21;
20/05/2018  17:30:00 ;;17:30:00 - 17:45:00;17:45:00 - 18:00:00;;;;Fish TV News;;Congresso Brasileiro de Engenharia de Pesca;;5;;6;;00:01:34;00:15:00;;;;00:16:34;;00:01:19;00:15:00;;;;00:16:19;
20/05/2018  18:00:00 ;;18:00:00 - 18:15:00;18:15:00 - 18:30:00;;;;Saltwater;;Pescando as valentes miraguaias;;2;;4;;00:03:34;00:11:12;;;;00:14:46;;00:03:18;00:11:10;;;;00:14:28;
20/05/2018  18:30:00 ;;18:30:00 - 18:45:00;18:45:00 - 19:00:00;;;;Provas e Torneios;;2º Torneio Cabras da Pesca;;5;;26;;00:08:37;00:09:17;;;;00:17:54;;00:08:40;00:06:07;;;;00:14:47;
20/05/2018  19:00:00 ;;19:00:00 - 19:15:00;19:15:00 - 19:30:00;;;;Coração de Pescador;;Tambaqui no Teles Pires;;4;;23;;00:01:27;00:04:00;;;;00:05:27;;00:01:22;00:04:00;;;;00:05:22;
20/05/2018  19:30:00 ;;19:30:00 - 19:45:00;19:45:00 - 20:00:00;;;;Aquarismo;;Visita à fábrica da Boyu na China;;4;;12;;00:02:00;00:13:00;;;;00:15:00;;00:02:00;00:13:00;;;;00:15:00;
20/05/2018  20:00:00 ;;20:00:00 - 20:15:00;20:15:00 - 20:30:00;20:30:00 - 20:45:00;20:45:00 - 21:00:00;;Campeonato Brasileiro em Pesqueiros;;Etapa Parque Maeda 4 – 1º parte;;1;;15;;00:03:07;00:03:42;00:01:00;00:04:57;;00:12:46;;00:03:00;00:03:39;00:01:00;00:05:06;;00:12:45;
20/05/2018  21:00:00 ;;21:00:00 - 21:15:00;21:15:00 - 21:30:00;21:30:00 - 21:45:00;21:45:00 - 22:00:00;;Pesque e Pague;;Os bitelões do Recanto dos Gigantes;;6;;9;;00:00:00;00:03:00;00:06:48;00:07:50;;00:17:38;;00:00:00;00:03:00;00:06:11;00:08:09;;00:17:20;
20/05/2018  22:00:00 ;;22:00:00 - 22:15:00;22:15:00 - 22:30:00;22:30:00 - 22:45:00;22:45:00 - 23:00:00;;Na Pegada do Fly;;Traíras e apaiaris do rio Mutum;;7;;6;;00:06:51;00:14:00;00:07:57;00:06:00;;00:34:48;;00:07:00;00:14:00;00:08:08;00:06:00;;00:35:08;
20/05/2018  23:00:00 ;;23:00:00 - 23:15:00;23:15:00 - 23:30:00;;;;Fish TV News;;Empresas Campeonato Brasileiro em Pesqueiros 2;;5;;4;;00:00:00;00:00:00;;;;00:00:00;;00:00:00;00:00:00;;;;00:00:00;
20/05/2018  23:30:00 ;;23:30:00 - 23:45:00;23:45:00 - 24:00:00;;;;Pesca Dinâmica;;Expedição Pantanal - Pescaria apoitada de pacus com massa;;3;;8;;00:02:00;00:00:00;;;;00:02:00;;00:02:00;00:00:00;;;;00:02:00;
21/05/2018  00:00:00 ;;24:00:00 - 24:15:00;24:15:00 - 24:30:00;;;;Pasión Por La Pesca;;Belas traíras argentinas;;5;;1;;00:08:13;00:02:00;;;;00:10:13;;00:07:50;00:02:00;;;;00:09:50;
21/05/2018  00:30:00 ;;24:30:00 - 24:45:00;24:45:00 - 25:00:00;;;;Aqua Negócios;;Aeração na criação de camarão marinho;;3;;6;;00:00:00;00:02:00;;;;00:02:00;;00:00:00;00:02:00;;;;00:02:00;
