Horário Início;;Programa;;Episódio;;Temporada;;N. Episódio;;Cov_INT1;Cov_INTE2;Cov_INTE3;Cov_INTE4;;Cov_Total_Domicilio;;Cov_INT1;Cov_INTE2;Cov_INTE3;Cov_INTE4;;Cov_Total_Individuos;;Rat_INT1;Rat_INTE2;Rat_INTE3;Rat_INTE4;;Rat_Total_Domicilio;;Rat_INT1;Rat_INTE2;Rat_INTE3;Rat_INTE4;;Rat_Total_Individuos;;Ats_INT1;Ats_INTE2;Ats_INTE3;Ats_INTE4;;Ats_Total_Domicilio;;Ats_INT1;Ats_INTE2;Ats_INTE3;Ats_INTE4;;Ats_Total_Individuos;;;Aff_INT1;Aff_INTE2;Aff_INTE3;Aff_INTE4;;Aff_Total_Domicilio;;Aff_INT1;Aff_INTE2;Aff_INTE3;Aff_INTE4;;Aff_Total_Individuos;;Horário Termino
12/05/2018  09:00:00 ;;Momento da Pesca;;Pesca variada no rio Cururu;;6;;24;;0;2,331;3,536;4,232;;10,099;;4,056;4,056;;;;8,112;;0;2,02;0,236;1,693;;3,949;;0;2,49;;;;2,49;;00:00:00;00:13:00;0:01:00;0:06:00;;0:20:00;;0:00:00;0:13:00;;;;0:13:00;;;0;2,331;3,536;4,232;;10,099;;4,056;4,056;;;;8,112;;19/02/2018  08:30:00 
12/05/2018  10:00:00 ;;Provas e Torneios;;Circuito Brasil-Sul 2018 – 1ª Etapa – Imbé-RS;;5;;25;;0;0;;;;0;;14,35;4,056;;;;18,406;;0;0;;;;0;;0;0;;;;0;;00:00:00;00:00:00;;;;0:00:00;;0:00:00;0:00:00;;;;0:00:00;;;0;0;;;;0;;14,35;4,056;;;;18,406;;19/02/2018  09:00:00 
12/05/2018  10:30:00 ;;Pesque e Pague;;Pescaria e amizade na Estância Pesqueira Campos;;6;;7;;8,799;8,799;2,202;2,202;;22,002;;4,056;0;8,088;24,18;;36,324;;3,8;4,712;1,028;0,294;;9,834;;3,851;3,901;8,088;24,18;;40,02;;00:06:29;00:08:02;0:07:00;0:02:00;;0:23:31;;0:07:03;0:07:09;0:07:00;0:02:00;;0:23:12;;;8,799;8,799;2,202;2,202;;22,002;;4,056;0;8,088;24,18;;36,324;;19/02/2018  10:00:00 
12/05/2018  11:30:00 ;;Destinos;;Navegue pelo Rio Negro com a Ecofishing – parte 2;;4;;28;;3,536;5,353;;;;8,889;;7,368;16,74;;;;24,108;;0,236;0,714;;;;0,95;;0,238;0,656;;;;0,894;;00:01:00;00:02:00;;;;0:03:00;;0:01:00;0:02:00;;;;0:03:00;;;3,536;5,353;;;;8,889;;7,368;16,74;;;;24,108;;19/02/2018  10:30:00 
12/05/2018  12:00:00 ;;Pesca Dinâmica;;Expedição Pantanal – rodada e corrico;;3;;7;;0;3,277;;;;3,277;;9,543;8,179;;;;17,722;;0;0,655;;;;0,655;;0;1,156;;;;1,156;;00:00:00;00:03:00;;;;0:03:00;;0:00:00;0:03:00;;;;0:03:00;;;0;3,277;;;;3,277;;9,543;8,179;;;;17,722;;19/02/2018  11:30:00 
12/05/2018  12:30:00 ;;Coração de Pescador;;Bargadas e Cacharas no rio Araguaia, em Goiás;;4;;22;;0;9,134;;;;9,134;;13,54;0;;;;13,54;;0;1,519;;;;1,519;;0;1,316;;;;1,316;;00:00:00;00:02:30;;;;0:02:30;;0:00:00;0:02:33;;;;0:02:33;;;0;9,134;;;;9,134;;13,54;0;;;;13,54;;19/02/2018  12:00:00 
12/05/2018  13:00:00 ;;Biopesca;;Peixes variados em Juruena;;5;;8;;9,134;4,052;;;;13,186;;8,186;12,23;;;;20,416;;0,609;1,081;;;;1,69;;0,516;0,9;;;;1,416;;00:01:00;00:04:00;;;;0:05:00;;0:01:00;0:04:00;;;;0:05:00;;;9,134;4,052;;;;13,186;;8,186;12,23;;;;20,416;;19/02/2018  12:30:00 
12/05/2018  13:30:00 ;;Aqua Negócios;;Carcinicultura marinha – sistema trifásico e intensivo;;3;;5;;7,238;0;;;;7,238;;15,49;12,07;;;;27,56;;0,483;0;;;;0,483;;0,59;0;;;;0,59;;00:01:00;00:00:00;;;;0:01:00;;0:01:00;0:00:00;;;;0:01:00;;;7,238;0;;;;7,238;;15,49;12,07;;;;27,56;;19/02/2018  13:00:00 
12/05/2018  14:00:00 ;;Momento da Pesca;;Pesca de caiaque no piscoso rio Teles Pires;;7;;7;;0;11,33;7,923;6,564;;25,817;;8,186;8,186;7,26;7,54;;31,172;;0;1,976;5,01;0,719;;7,705;;0;2,128;7,26;7,54;;16,928;;00:00:00;00:02:37;0:09:29;0:01:39;;0:13:45;;0:00:00;0:02:40;0:09:22;0:01:36;;0:13:38;;;0;11,33;7,923;6,564;;25,817;;8,186;8,186;7,26;7,54;;31,172;;19/02/2018  13:30:00 
12/05/2018  15:00:00 ;;Fishing Guide;;Esportiva pesca na Argentina;;2;;12;;7,756;2,945;;;;10,701;;0;14,53;;;;14,53;;0,674;0,196;;;;0,87;;0,714;0,164;;;;0,878;;00:01:18;00:01:00;;;;0:02:18;;0:01:21;0:01:00;;;;0:02:21;;;7,756;2,945;;;;10,701;;0;14,53;;;;14,53;;19/02/2018  14:00:00 
12/05/2018  15:30:00 ;;Fish TV News;;Empresas Campeonato Brasileiro em Pesqueiros 1;;5;;2;;2,901;0;;;;2,901;;25,41;24,92;;;;50,33;;1,547;0;;;;1,547;;1,299;0;;;;1,299;;00:08:00;00:00:00;;;;0:08:00;;0:08:00;0:00:00;;;;0:08:00;;;2,901;0;;;;2,901;;25,41;24,92;;;;50,33;;19/02/2018  15:00:00 
12/05/2018  16:00:00 ;;Saltwater;;Pescaria de robalos com jig head;;2;;3;;13,47;9,311;;;;22,781;;12,52;7,815;;;;20,335;;3,256;2,715;;;;5,971;;2,639;2,092;;;;4,731;;00:03:38;00:04:22;;;;0:08:00;;0:03:39;0:04:41;;;;0:08:20;;;13,47;9,311;;;;22,781;;12,52;7,815;;;;20,335;;19/02/2018  15:30:00 
12/05/2018  16:30:00 ;;Aquarismo;;As tecnologias por trás de uma gigante do aquarismo;;4;;10;;4,89;0;;;;4,89;;19,44;17,58;;;;37,02;;0,978;0;;;;0,978;;0,621;0;;;;0,621;;00:03:00;00:00:00;;;;0:03:00;;0:03:00;0:00:00;;;;0:03:00;;;4,89;0;;;;4,89;;19,44;17,58;;;;37,02;;19/02/2018  16:30:00 
