ID;Data;Status;Pagamento;Dispositivo;Produtos;SubTotal;Descontos;Frete;Valor
4110;16/03/2017 16:51;ENTREGUE;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 17,19;R$ 87,09
4109;16/03/2017 15:29;ENTREGUE;MOIP CC 2x;Desktop;2;R$ 279,80;R$ 0,00;R$ 0,00;R$ 279,80
4108;16/03/2017 14:37;ENTREGUE;MOIP CC 6x;Desktop;1;R$ 71,91;R$ 0,00;R$ 21,85;R$ 93,76
4103;16/03/2017 12:29;ENTREGUE;MOIP Boleto;Mobile;1;R$ 199,90;R$ 0,00;R$ 15,56;R$ 215,46
4102;16/03/2017 12:02;ENTREGUE;MOIP Boleto;Mobile;4;R$ 199,62;R$ 0,00;R$ 17,19;R$ 216,81
4099;16/03/2017 00:59;ENTREGUE;MOIP Boleto;Mobile;1;R$ 79,11;R$ 0,00;R$ 31,22;R$ 110,33
4097;15/03/2017 20:09;ENTREGUE;MOIP CC 3x;Mobile;3;R$ 184,71;R$ 0,00;R$ 16,78;R$ 201,49
4096;15/03/2017 17:40;ENTREGUE;MOIP CC 1x;Desktop;1;R$ 49,90;R$ 0,00;R$ 27,96;R$ 77,86
4095;15/03/2017 16:14;ENTREGUE;MOIP CC 2x;Desktop;1;R$ 69,90;R$ 0,00;R$ 21,85;R$ 91,75
4094;15/03/2017 16:01;ENTREGUE;MOIP CC 2x;Mobile;1;R$ 62,91;R$ 0,00;R$ 15,56;R$ 78,47
4093;15/03/2017 10:53;ENTREGUE;MOIP Boleto;Desktop;1;R$ 80,91;R$ 0,00;R$ 17,19;R$ 98,10
4092;15/03/2017 07:53;ENTREGUE;MOIP Boleto;Desktop;1;R$ 62,91;R$ 0,00;R$ 17,19;R$ 80,10
4091;15/03/2017 00:44;ENTREGUE;MOIP CC 3x;Mobile;2;R$ 89,80;R$ 0,00;R$ 17,19;R$ 106,99
4089;14/03/2017 23:30;ENTREGUE;MOIP Boleto;Mobile;1;R$ 62,91;R$ 0,00;R$ 21,85;R$ 84,76
4086;14/03/2017 19:11;ENTREGUE;MOIP Boleto;Desktop;3;R$ 200,71;R$ 0,00;R$ 22,28;R$ 222,99
4085;14/03/2017 18:00;ENTREGUE;MOIP CC 6x;Mobile;2;R$ 149,80;R$ 0,00;R$ 31,22;R$ 181,02
4084;14/03/2017 16:39;ENTREGUE;MOIP CC 2x;Desktop;1;R$ 62,91;R$ 0,00;R$ 15,56;R$ 78,47
4082;14/03/2017 08:27;ENTREGUE;MOIP Boleto;Desktop;4;R$ 266,83;R$ 0,00;R$ 0,00;R$ 266,83
4081;13/03/2017 23:40;ENTREGUE;MOIP CC 5x;Desktop;2;R$ 175,80;R$ 0,00;R$ 27,96;R$ 203,76
4080;13/03/2017 20:49;ENTREGUE;MOIP CC 2x;Mobile;1;R$ 29,90;R$ 0,00;R$ 16,78;R$ 46,68
4079;13/03/2017 19:21;ENTREGUE;MOIP CC 6x;Desktop;2;R$ 159,81;R$ 15,98;R$ 17,19;R$ 161,02
4078;13/03/2017 18:27;ENTREGUE;MOIP Boleto;Desktop;1;R$ 35,91;R$ 0,00;R$ 16,78;R$ 52,69
4077;13/03/2017 13:54;ENTREGUE;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 17,19;R$ 87,09
4076;13/03/2017 13:20;ENTREGUE;MOIP CC 6x;Desktop;10;R$ 620,43;R$ 0,00;R$ 26,82;R$ 647,25
4075;13/03/2017 12:52;ENTREGUE;MOIP Boleto;Mobile;2;R$ 94,81;R$ 0,00;R$ 15,56;R$ 110,37
4074;13/03/2017 12:19;ENTREGUE;MOIP CC 3x;Desktop;2;R$ 132,81;R$ 0,00;R$ 17,19;R$ 150,00
4073;13/03/2017 11:34;ENTREGUE;MOIP Boleto;Desktop;2;R$ 139,80;R$ 0,00;R$ 21,85;R$ 161,65
4071;13/03/2017 08:38;ENTREGUE;MOIP Boleto;Mobile;1;R$ 71,91;R$ 0,00;R$ 15,56;R$ 87,47
4070;12/03/2017 21:00;ENTREGUE;MOIP CC 3x;Desktop;2;R$ 143,82;R$ 0,00;R$ 18,59;R$ 162,41
