Início dos relatórios;Término dos relatórios;Nome da campanha;Veiculação;Resultados;Indicador de resultados;Alcance;Impressões;Custo por resultados;Orçamento;Tipo de orçamento;Valor gasto (BRL);Término;Taxa de aumento estimado de lembrança do anúncio;Frequência;Curtidas na Página;Cliques no link únicos;Cliques no link;Compras no site;Visualizações da página de destino;Custo por visualização da página de destino (BRL)
2018-06-08;2018-07-08;Camp_Ads;not_delivering;4389;actions:landing_page_view;326015;599260;0,429203;Usando orçamento do conjunto de anúncios;;1883,77;Contínuo;0;1,838136;294;5654;6658;29;4389;0,429203
2018-06-08;2018-07-08;Camp_Publicações;completed;1554;actions:post_engagement;5732;7628;0,030882;Usando orçamento do conjunto de anúncios;;47,99;2018-06-13;9,769714;1,330775;8;28;28;;8;5,99875
