Página;Visualizações de página;Visualizações de páginas únicas;Tempo médio na página;Entradas;Taxa de rejeição;Porcentagem de saída;Valor da página
/;11069;7351;48,19;7098;39,76%;38,41%;1,87
/bones-000007.html;9292;5212;39,14;3356;58,34%;32,46%;2,31
/camisetas-000001.html;6000;3139;34,95;366;40,71%;12,15%;3,94
/lancamentos-000014.html;2388;1618;41,47;124;41,13%;14,49%;4,43
/camisetas-000001.html?page=2;2314;1297;29,68;47;58,70%;10,46%;6,59
/acessorios-000012.html;1700;1148;35,40;59;54,24%;10,65%;2,93
/sandalias-000003.html;1407;963;35,37;41;53,66%;11,58%;4,83
/fish-tv-000013.html;1352;896;52,81;491;28,92%;27,81%;2,64
/bones/bone-isca-stick-nova-colecao-unico-000000514.html;1138;906;40,87;47;55,32%;18,89%;6,31
/utilitarios-000010.html;1074;733;39,22;26;57,69%;11,36%;2,47
;65458;43988;38,49;13251;45,10%;20,24%;6,83
