Início dos relatórios;Término dos relatórios;Nome da campanha;Veiculação;Pessoas executando uma ação;Reações à publicação;Comentários na publicação;Compartilhamentos da publicação;Cliques no link;Curtidas na Página;CPC (custo por clique no link) (BRL)
2018-06-08;2018-07-08;Camp_Ads;not_delivering;15192;2097;40;44;6658;294;0,282933
2018-06-08;2018-07-08;Camp_Publicações;completed;1310;1511;3;4;28;8;1,713929
