Origem;Usuários;Novos usuários;Sessões;Taxa de rejeição;Páginas / sessão;Duração média da sessão;Taxa de conversão do comércio eletrônico;Transações;Receita
google / organic;3193;2761;4353;25,20%;7,44;247,95;2,04%;89;14462,19
m.facebook.com / referral;3129;2990;3649;61,83%;2,98;64,34;0,38%;14;2264,39
(direct) / (none);1877;1777;2202;49,59%;4,45;148,78;0,50%;11;1179,08
instagram.com / referral;905;854;964;57,57%;3,26;60,80;0,52%;5;543,69
fishtv.com / referral;648;548;766;39,30%;5,33;172,80;0,91%;7;829,44
RD Station / email;323;220;398;51,76%;3,56;126,21;2,76%;11;2101,80
l.facebook.com / referral;226;221;243;76,54%;2,14;44,67;0,82%;2;153,41
facebook.com / referral;159;132;194;33,51%;4,51;205,28;0,00%;0;0,00
l.instagram.com / referral;97;88;120;32,50%;6,33;178,46;2,50%;3;279,95
googleweblight.com / referral;59;50;88;28,41%;7,20;266,89;2,27%;2;183,47
;10806;9758;13253;45,10%;4,94;151,70;1,09%;145;22312,92
