Referência;Produto;Atributos;Categorias;Qtde Vendida
10550;Boné Isca Stick;Único/Único;Lançamentos, Bonés;17
10481;Camiseta Anzol For Fisher;Único/M;Lançamentos, Camisetas;3
10481;Camiseta Anzol For Fisher;Único/G;Lançamentos, Camisetas;3
10481;Camiseta Anzol For Fisher;Único/GG;Lançamentos, Camisetas;2
10481;Camiseta Anzol For Fisher;Único/XG;Lançamentos, Camisetas;2
10481;Camiseta Anzol For Fisher;Único/XGG;Lançamentos, Camisetas;1
10548;Boné Pesco Logo Existo;Único/Único;Lançamentos, Bonés;10
10337;Boné Momento da Pesca;Único/Único;Bonés, Fish TV;8
10343;Boné Tucunaré Tribal;Único/Único;Bonés;8
10541;Boné Clássico Tucunaré;Único/Único;Lançamentos, Bonés;7
10495;Camiseta Tucunaré Aquarela - Preta;Único/G;Lançamentos, Camisetas;4
10495;Camiseta Tucunaré Aquarela - Preta;Único/XGG;Lançamentos, Camisetas;2
10495;Camiseta Tucunaré Aquarela - Preta;Único/P;Lançamentos, Camisetas;1
10542;Boné Escama Tambaqui;Único/Único;Lançamentos, Bonés;7
10540;Boné Escama Tucunaré;Único/Único;Lançamentos, Bonés;6
10539;Boné Escama Dourado;Único/Único;Lançamentos, Bonés;6
10492;Camiseta Pescar é o Meu Esporte;Único/GG;Lançamentos, Camisetas;2
10492;Camiseta Pescar é o Meu Esporte;Único/XGG;Lançamentos, Camisetas;2
10492;Camiseta Pescar é o Meu Esporte;Único/P;Lançamentos, Camisetas;1
10492;Camiseta Pescar é o Meu Esporte;Único/XG;Lançamentos, Camisetas;1
10578;Caneca Tucunaré Aquarela;Único/Único;Lançamentos, Utilitários > Canecas;4
10546;Boné Robalo Maori;Único/Único;Lançamentos, Bonés;4
10275;Squeeze For Fisher;Único/Único;Utilitários > Squeeze;4
10538;Boné Clássico Dourado;Único/Único;Lançamentos, Bonés;4
10493;Camiseta Tucunaré Aquarela - Branca;Único/XGG;Lançamentos, Camisetas;3
10493;Camiseta Tucunaré Aquarela - Branca;Único/GG;Lançamentos, Camisetas;1
10574;Chaveiro Tucunaré;Único/Único;Lançamentos, Utilitários > Chaveiros;3
10551;Boné Tamba Fisher;Único/Único;Lançamentos, Bonés;3
10030;Pulseira Dourado Pingente;Único/Único;Acessórios > Pulseiras;3
10500;Camiseta Tambaqui Aquarela - Branca;Único/XGG;Lançamentos, Camisetas;2
10500;Camiseta Tambaqui Aquarela - Branca;Único/GG;Lançamentos, Camisetas;1
10587;Colar Hei Matau Metal;Único/Único;Lançamentos, Acessórios > Colares;3
10431;Camiseta Salto do Robalo;Único/XG;Camisetas;2
10431;Camiseta Salto do Robalo;Único/P;Camisetas;1
10243;Camiseta Manifesto For Fisher;G/Único;Camisetas;2
10243;Camiseta Manifesto For Fisher;GG/Único;Camisetas;1
10490;Camiseta Peixe Grande Toma Linha;Único/XGG;Lançamentos, Camisetas;3
10488;Camiseta Pampo Maori - Branca;Único/GG;Lançamentos, Camisetas;1
10488;Camiseta Pampo Maori - Branca;Único/XG;Lançamentos, Camisetas;1
10488;Camiseta Pampo Maori - Branca;Único/XGG;Lançamentos, Camisetas;1
