UF;Qtde;Total
SP;77;R$ 5.010,30
PR;46;R$ 3.040,40
SC;18;R$ 1.178,20
Não informado;18;R$ 1.113,20
RS;18;R$ 1.188,20
MT;16;R$ 998,40
MG;8;R$ 619,20
GO;8;R$ 439,20
RJ;7;R$ 409,30
PA;4;R$ 299,60
TO;3;R$ 129,70
DF;1;R$ 79,90
CE;1;R$ 69,90
;;
