Categoria;Total de Pedidos;Total de Produtos;Total em Produtos
Camisetas;51;76;R$ 6.110,40
Pulseiras;7;10;R$ 389,00
Sandálias;6;6;R$ 479,40
Colares;4;5;R$ 199,50
Quadros;3;4;R$ 279,60
Bonés;62;80;R$ 5.592,00
Utilitários;15;21;R$ 667,90
Acessórios;5;5;R$ 199,50
Fish TV;10;10;R$ 799,00
Lançamentos;1;1;R$ 79,90
