Categoria;Total de Pedidos;Total de Produtos;Total em Produtos
Acessórios;9;13;R$ 518,70
Bonés;54;76;R$ 5.312,40
Camisetas;46;68;R$ 5.439,20
Colares;6;6;R$ 259,40
Fish TV;16;18;R$ 1.598,20
Lançamentos;3;3;R$ 239,70
Pulseiras;9;12;R$ 468,80
Sandálias;2;2;R$ 159,80
Utilitários;7;13;R$ 468,70
;;;
;;;
