UF;Qtde;Total
SP;75;R$ 5.064,50
RS;27;R$ 1.787,30
MG;19;R$ 1.318,10
PR;17;R$ 998,30
Não informado;9;R$ 529,10
RJ;8;R$ 599,20
DF;7;R$ 509,30
AM;5;R$ 379,50
MS;5;R$ 359,50
MT;4;R$ 287,60
BA;3;R$ 219,70
RO;2;R$ 159,80
SC;1;R$ 69,90
GO;1;R$ 69,90
