UF;Pedidos;Produtos Vendidos;Ticket Médio;Valor Total;Valor de Frete
AM;1;2;R$ 269,80;R$ 269,80;R$ 34,77
BA;1;3;R$ 239,70;R$ 239,70;R$ 35,93
DF;2;9;R$ 374,55;R$ 749,10;R$ 80,31
ES;1;2;R$ 139,80;R$ 139,80;R$ 24,47
GO;2;4;R$ 109,80;R$ 219,60;R$ 48,94
MG;13;28;R$ 143,63;R$ 1.867,20;R$ 387,31
MS;2;5;R$ 179,75;R$ 359,50;R$ 73,10
MT;2;3;R$ 113,85;R$ 227,70;R$ 54,55
PA;2;4;R$ 154,80;R$ 309,60;R$ 122,10
PB;1;1;R$ 79,90;R$ 79,90;R$ 34,77
PR;18;25;R$ 89,31;R$ 1.607,50;R$ 384,64
RJ;3;4;R$ 99,87;R$ 299,60;R$ 93,92
RN;1;1;R$ 69,90;R$ 69,90;R$ 42,75
RS;10;21;R$ 134,79;R$ 1.347,90;R$ 107,73
SC;2;5;R$ 184,75;R$ 369,50;R$ 37,92
SP;43;94;R$ 146,71;R$ 6.308,60;R$ 1.228,55
