Ranking;ID;Produto;Categorias;Faturamento;%
59;25;Pulseira Tambaqui Pingente - Couro Natural e Peixe em Metal;Acessórios > Pulseiras;R$ 159,60;0,51%
60;149;Abridor Pesque e Solte - Nova Coleção;Lançamentos;R$ 159,20;0,51%
;;;Utilitários > Abridores;;
61;61;Pulseira Macramê Dourado Café;Acessórios > Pulseiras;R$ 149,70;0,48%
62;45;Camiseta Técnicas For Fisher - 100% algodão;Camisetas;R$ 139,80;0,45%
63;142;Boné Pampo Maori - Nova Coleção;Lançamentos;R$ 139,80;0,45%
;;;Bonés;;
64;151;Chaveiro Tucunaré;Lançamentos;R$ 139,30;0,44%
;;;Utilitários > Chaveiros;;
65;163;Colar Anzol For Fisher;Lançamentos;R$ 119,70;0,38%
;;;Acessórios > Colares;;
66;32;Pulseira Traíra Emborrachada - Material emborrachado;Acessórios > Pulseiras;R$ 119,60;0,38%
67;153;Caneca Salto do Dourado;Lançamentos;R$ 104,70;0,33%
;;;Utilitários > Canecas;;
68;157;Caneca Cardume Fish TV;Lançamentos;R$ 104,70;0,33%
;;;Utilitários > Canecas;;
69;156;Caneca Pampo Maori;Lançamentos;R$ 104,70;0,33%
;;;Utilitários > Canecas;;
70;63;Pulseira Macramê Traíra Café;Acessórios > Pulseiras;R$ 99,80;0,32%
71;96;Camiseta Mestre da Emboscada - Coleção Peixes Reais;Camisetas;R$ 89,90;0,29%
72;33;Pulseira Tucunaré Emborrachada - Material emborrachado;Acessórios > Pulseiras;R$ 89,70;0,29%
73;98;Camiseta Salto do Tucunaré - Coleção Salto dos Peixes;Camisetas;R$ 87,90;0,28%
74;75;Camiseta Robalo Tribal - 100% algodão e estampa em silk screen relevo;Camisetas;R$ 87,90;0,28%
75;134;Camiseta Baby Look Tambaqui Aquarela - Preta - Nova coleção;Lançamentos;R$ 79,90;0,26%
;;;Camisetas;;
76;8;Sandália Tucunaré - Borracha e Impressão Silk Screen;Sandálias;R$ 79,90;0,26%
77;5;Sandália Robalo - Borracha e Impressão Silk Screen;Sandálias;R$ 79,90;0,26%
78;27;Pulseira Tucunaré Pingente - Couro Natural e Peixe em Metal;Acessórios > Pulseiras;R$ 79,80;0,25%
79;164;Colar Hei Matau Metal;Lançamentos;R$ 79,80;0,25%
;;;Acessórios > Colares;;
80;26;Pulseira Traíra Pingente - Couro Natural e Peixe em Metal;Acessórios > Pulseiras;R$ 79,80;0,25%
81;22;Pulseira Dourado Pingente - Couro Natural e Peixe em Metal;Acessórios > Pulseiras;R$ 79,80;0,25%
82;141;"Boné ""Esse é Bruto!""";Lançamentos;R$ 69,90;0,22%
;;;Bonés;;
83;21;Quadro Tucunaré (38x30) - P.S. e Policromia Alta Qualidade;Utilitários > Quadros;R$ 69,90;0,22%
84;140;Boné Pesque & Pague;Lançamentos;R$ 69,90;0,22%
;;;Bonés;;
85;154;Caneca Salto do Tucunaré;Lançamentos;R$ 69,80;0,22%
;;;Utilitários > Canecas;;
86;31;Pulseira Tambaqui Emborrachada - Material emborrachado;Acessórios > Pulseiras;R$ 59,80;0,19%
87;28;Pulseira Dourado Emborrachada - Material emborrachado;Acessórios > Pulseiras;R$ 59,80;0,19%
88;67;Pulseira Macramê Traíra Preta e Marrom;Acessórios > Pulseiras;R$ 49,90;0,16%
89;57;Pulseira Macramê Dourado Preta;Acessórios > Pulseiras;R$ 49,90;0,16%
90;62;Pulseira Macramê Robalo Café;Acessórios > Pulseiras;R$ 49,90;0,16%
91;15;Colar Tucunaré - Couro e Pingente de Peixe em Metal;Acessórios > Colares;R$ 39,90;0,13%
92;9;Colar Dourado - Couro e Pingente de Peixe em Metal;Acessórios > Colares;R$ 39,90;0,13%
93;150;Chaveiro Pesque e Solte;Lançamentos;R$ 39,80;0,13%
;;;Utilitários > Chaveiros;;
94;29;Pulseira Marlin Emborrachada - Material emborrachado;Acessórios > Pulseiras;R$ 29,90;0,10%
95;30;Pulseira Robalo Emborrachada - Material emborrachado;Acessórios > Pulseiras;R$ 29,90;0,10%
96;39;Pulseira Tucunaré em Recorte - Couro Natural e Peixe em Recorte;Acessórios > Pulseiras;R$ 29,90;0,10%
97;152;Chaveiro For Fisher;Lançamentos;R$ 19,90;0,06%
;;;Utilitários > Chaveiros;;
