UF;Qtde;Total
SP;144;R$ 10.219,60
Não informado;46;R$ 3.168,40
PR;43;R$ 2.771,70
MG;24;R$ 1.663,60
RS;21;R$ 1.412,90
RJ;15;R$ 1.046,50
MT;13;R$ 823,70
GO;8;R$ 419,20
RO;7;R$ 549,30
PA;4;R$ 269,60
SC;4;R$ 295,60
MS;4;R$ 309,60
DF;3;R$ 229,70
BA;2;R$ 159,80
